nba_id,Player,Seasons,Team,Pos,MPG,LEBRON,O-LEBRON,D-LEBRON,WAR,OffRole,DefRole
1713,Vince Carter,2018,SAC,SF,17.689,-0.846,-1.275,0.429,1.004,Movement Shooter,Low Activity
1717,Dirk Nowitzki,2018,DAL,C,24.681,0.58,-0.794,1.374,3.664,Versatile Big,Helper
1891,Jason Terry,2018,MIL,SG,15.953,-1.398,-1.716,0.318,0.498,Movement Shooter,Chaser
1938,Manu Ginobili,2018,SAS,SG,19.985,-0.826,0.092,-0.918,1.289,Secondary Ball Handler,Low Activity
2037,Jamal Crawford,2018,MIN,SG,20.665,-3.431,-0.288,-3.143,-1.172,Shot Creator,Low Activity
2199,Tyson Chandler,2018,PHO,C,25.015,-0.823,-1.722,0.899,1.143,Roll + Cut Big,Anchor Big
2200,Pau Gasol,2018,SAS,C,23.532,1.26,0.028,1.233,4.312,Post Scorer,Anchor Big
2207,Joe Johnson,2018,UTA/HOU,SF,21.905,-2.666,-1.425,-1.241,-0.263,Shot Creator,Helper
2216,Zach Randolph,2018,SAC,PF,25.555,-1.296,-0.557,-0.739,1.026,Post Scorer,Helper
2225,Tony Parker,2018,SAS,PG,19.472,-1.517,-0.907,-0.61,0.572,Slasher,Point of Attack
2403,Nene,2018,HOU,C,14.585,0.519,-0.73,1.249,1.431,Roll + Cut Big,Mobile Big
2544,Lebron James,2018,CLE,PF,36.901,4.924,5.357,-0.433,14.279,Shot Creator,Helper
2546,Carmelo Anthony,2018,OKC,PF,32.067,1.286,1.275,0.012,5.995,Shot Creator,Helper
2548,Dwyane Wade,2018,CLE/MIA,SG,22.926,0.209,0.648,-0.439,2.582,Shot Creator,Low Activity
2561,David West,2018,GSW,C,13.681,0.77,-0.379,1.149,2.052,Post Scorer,Mobile Big
2585,Zaza Pachulia,2018,GSW,C,14.084,0.371,-0.955,1.326,1.738,Roll + Cut Big,Mobile Big
2594,Kyle Korver,2018,CLE,SG,21.559,0.608,1.396,-0.788,3.064,Off Screen Shooter,Low Activity
2730,Dwight Howard,2018,CHO,C,30.413,1.547,-0.031,1.579,6.33,Post Scorer,Anchor Big
2731,Emeka Okafor,2018,NOP,C,13.587,-0.217,-1.321,1.104,0.493,Roll + Cut Big,Helper
2733,Shaun Livingston,2018,GSW,PG,15.904,-2.292,-1.485,-0.807,0.029,Shot Creator,Point of Attack
2734,Devin Harris,2018,DAL/DEN,PG,18.866,-0.569,0.105,-0.674,1.557,Secondary Ball Handler,Chaser
2738,Andre Iguodala,2018,GSW,SF,25.352,0.113,-0.348,0.461,2.624,Stationary Shooter,Chaser
2744,Al Jefferson,2018,IND,C,13.431,-0.453,-0.965,0.512,0.6,Post Scorer,Anchor Big
2747,Jr Smith,2018,CLE,SG,28.051,-1.573,-0.343,-1.23,1.116,Off Screen Shooter,Chaser
2749,Jameer Nelson,2018,NOP/DET,PG,20.263,-2.919,-1.704,-1.215,-0.386,Secondary Ball Handler,Point of Attack
2754,Tony Allen,2018,NOP,SF,12.383,-2.315,-1.684,-0.631,0.003,Roll + Cut Big,Wing Stopper
2772,Trevor Ariza,2018,HOU,SF,33.868,-0.05,-0.445,0.396,3.423,Stationary Shooter,Wing Stopper
101107,Marvin Williams,2018,CHO,PF,25.717,-0.242,-0.225,-0.016,2.769,Movement Shooter,Helper
101108,Chris Paul,2018,HOU,PG,31.838,4.321,4.022,0.299,8.033,Shot Creator,Point of Attack
101109,Raymond Felton,2018,OKC,PG,16.642,-1.689,-0.479,-1.21,0.574,Primary Ball Handler,Point of Attack
101112,Channing Frye,2018,CLE/LAL,C,13.109,-0.263,-0.325,0.062,0.949,Stationary Shooter,Helper
101123,Gerald Green,2018,HOU,SG,22.662,-0.434,1.071,-1.506,1.164,Off Screen Shooter,Low Activity
101127,Jarrett Jack,2018,NYK,PG,24.961,-0.761,-0.229,-0.532,1.602,Primary Ball Handler,Point of Attack
101133,Ian Mahinmi,2018,WAS,C,14.875,-1.336,-2.219,0.883,0.749,Roll + Cut Big,Mobile Big
101139,Cj Miles,2018,TOR,SF,19.091,0.571,1.692,-1.121,2.569,Off Screen Shooter,Low Activity
101141,Ersan Ilyasova,2018,ATL/PHI,PF,25.068,0.778,0.247,0.531,3.563,Stretch Big,Helper
101150,Lou Williams,2018,LAC,SG,32.775,-0.21,3.335,-3.545,3.63,Primary Ball Handler,Low Activity
101161,Amir Johnson,2018,PHI,C,15.814,-0.128,-1.57,1.442,1.704,Roll + Cut Big,Anchor Big
101162,Marcin Gortat,2018,WAS,C,25.3,0.612,-0.896,1.508,4.044,Post Scorer,Mobile Big
101181,Jose Calderon,2018,CLE,PG,16.041,-1.813,-1.359,-0.454,0.31,Primary Ball Handler,Point of Attack
200746,Lamarcus Aldridge,2018,SAS,C,33.45,3.354,2.801,0.553,9.391,Post Scorer,Anchor Big
200752,Rudy Gay,2018,SAS,PF,21.602,0.474,0.303,0.171,2.287,Shot Creator,Helper
200755,Jj Redick,2018,PHI,SG,30.227,1.002,1.774,-0.772,4.672,Off Screen Shooter,Chaser
200757,Thabo Sefolosha,2018,UTA,SF,21.199,0.514,-0.768,1.282,1.518,Stationary Shooter,Wing Stopper
200765,Rajon Rondo,2018,NOP,PG,26.231,-0.727,0.101,-0.828,1.804,Primary Ball Handler,Point of Attack
200768,Kyle Lowry,2018,TOR,PG,32.175,4.028,3.427,0.6,10.46,Primary Ball Handler,Point of Attack
200782,P.J. Tucker,2018,HOU,PF,27.819,0.122,-0.698,0.82,3.703,Stationary Shooter,Wing Stopper
200794,Paul Millsap,2018,DEN,PF,30.094,0.584,-0.106,0.69,2.208,Shot Creator,Helper
200826,J.J. Barea,2018,DAL,PG,23.237,0.504,1.63,-1.126,3.01,Primary Ball Handler,Point of Attack
201142,Kevin Durant,2018,GSW,SF,34.193,3.908,4.252,-0.344,9.517,Shot Creator,Wing Stopper
201143,Al Horford,2018,BOS,C,31.626,0.742,-0.13,0.873,4.636,Versatile Big,Anchor Big
201144,Mike Conley,2018,MEM,PG,31.103,1.795,2.393,-0.598,1.02,Shot Creator,Chaser
201145,Jeff Green,2018,CLE,PF,23.432,0.047,0.797,-0.749,2.875,Shot Creator,Wing Stopper
201147,Corey Brewer,2018,LAL/OKC,SF,16.784,-1.14,-1.21,0.07,0.947,Stationary Shooter,Chaser
201148,Brandan Wright,2018,MEM/HOU,PF,13.603,1.737,0.126,1.611,1.026,Roll + Cut Big,Anchor Big
201152,Thaddeus Young,2018,IND,PF,32.187,0.973,-0.307,1.28,5.707,Post Scorer,Mobile Big
201156,Nick Young,2018,GSW,SG,17.414,-1.763,0.114,-1.876,0.518,Off Screen Shooter,Low Activity
201158,Marco Belinelli,2018,ATL/PHI,SG,24.336,-1.129,0.376,-1.506,1.539,Off Screen Shooter,Low Activity
201162,Jared Dudley,2018,PHO,PF,14.301,0.22,-1.117,1.336,1.159,Stationary Shooter,Helper
201163,Wilson Chandler,2018,DEN,SF,31.705,-1.431,-1.354,-0.078,1.386,Shot Creator,Wing Stopper
201167,Arron Afflalo,2018,ORL,SG,12.858,-4.011,-2.599,-1.412,-0.732,Versatile Big,Low Activity
201188,Marc Gasol,2018,MEM,C,32.991,1.383,0.243,1.14,5.927,Versatile Big,Anchor Big
201196,Ramon Sessions,2018,NYK/WAS,PG,14.015,-0.295,0.27,-0.565,0.528,Slasher,Point of Attack
201229,Anthony Tolliver,2018,DET,PF,22.24,0.964,0.381,0.583,3.836,Movement Shooter,Helper
201563,Michael Beasley,2018,NYK,PF,22.344,-0.871,0.601,-1.472,1.591,Post Scorer,Helper
201565,Derrick Rose,2018,CLE/MIN,PG,16.769,-1.944,-0.436,-1.508,0.106,Primary Ball Handler,Point of Attack
201566,Russell Westbrook,2018,OKC,PG,36.422,5.222,4.383,0.838,14.271,Shot Creator,Point of Attack
201567,Kevin Love,2018,CLE,C,27.987,2.556,2.531,0.025,5.333,Versatile Big,Mobile Big
201568,Danilo Gallinari,2018,LAC,SF,31.954,0.976,1.122,-0.146,1.47,Shot Creator,Helper
201569,Eric Gordon,2018,HOU,SG,31.217,0.601,2.174,-1.574,4.182,Secondary Ball Handler,Chaser
201571,D.J. Augustin,2018,ORL,PG,23.467,-0.424,0.578,-1.003,2.216,Primary Ball Handler,Point of Attack
201572,Brook Lopez,2018,LAL,C,23.446,0.201,-0.126,0.328,2.907,Versatile Big,Anchor Big
201573,Jerryd Bayless,2018,PHI,SG,23.709,-3.014,-2.159,-0.855,-0.409,Movement Shooter,Point of Attack
201577,Robin Lopez,2018,CHI,C,26.407,-1.836,-2.132,0.296,0.547,Post Scorer,Anchor Big
201578,Marreese Speights,2018,ORL,C,12.979,-0.6,0.666,-1.266,0.771,Versatile Big,Anchor Big
201583,Ryan Anderson,2018,HOU,PF,26.142,-0.808,-0.001,-0.807,1.732,Movement Shooter,Helper
