Player,Team,On-Off
Aaron Gordon,2TM,6.2
Aaron Holiday,IND,-0.2
Aaron Nesmith,BOS,-1.5
Abdel Nader,PHO,-2.8
Adam Mokoka,CHI,-3.7
Al Horford,OKC,6.2
Al-Farouq Aminu,2TM,0.6
Alec Burks,NYK,4.2
Aleksej Pokusevski,OKC,-9.6
Alen Smailagić,GSW,-16.7
Alex Caruso,LAL,3.2
Alex Len,2TM,-3.7
Alfonzo McKinnie,LAL,0.1
Alize Johnson,BRK,-7.4
Amida Brimah,IND,38.0
Amir Coffey,LAC,-10.0
Anderson Varejão,CLE,-33.2
Andre Drummond,2TM,-0.2
Andre Iguodala,MIA,-2.7
Andre Roberson,BRK,-18.0
Andrew Wiggins,GSW,-2.3
Anfernee Simons,POR,-2.2
Anthony Davis,LAL,3.4
Anthony Edwards,MIN,0.3
Anthony Gill,WAS,2.1
Anthony Lamb,HOU,-3.1
Anthony Tolliver,PHI,8.1
Anžejs Pasečņiks,WAS,-98.3
Armoni Brooks,HOU,-6.2
Aron Baynes,TOR,-5.9
Ashton Hagans,MIN,-34.6
Austin Rivers,2TM,-3.1
Avery Bradley,2TM,-5.3
Axel Toupane,MIL,-4.1
Bam Adebayo,MIA,0.8
Ben McLemore,2TM,-1.6
Ben Simmons,PHI,6.2
Bismack Biyombo,CHO,-9.8
Blake Griffin,2TM,2.5
Boban Marjanović,DAL,1.4
Bobby Portis,MIL,-0.5
Bogdan Bogdanović,ATL,2.6
Bojan Bogdanović,UTA,-0.9
Bol Bol,DEN,-29.4
Brad Wanamaker,2TM,-5.3
Bradley Beal,WAS,3.2
Brandon Clarke,MEM,-1.9
Brandon Goodwin,ATL,-6.5
Brandon Ingram,NOP,2.5
Brian Bowen,IND,0.0
Brodric Thomas,2TM,3.2
Brook Lopez,MIL,2.8
Bruce Brown,BRK,0.4
Bruno Caboclo,HOU,9.4
Bruno Fernando,ATL,-7.8
Bryn Forbes,MIL,-5.5
Buddy Hield,SAC,6.9
CJ Elleby,POR,-5.9
CJ McCollum,POR,6.7
Caleb Martin,CHO,-3.6
Cam Reddish,ATL,-7.1
Cameron Johnson,PHO,-0.9
Cameron Oliver,HOU,0.2
Cameron Payne,PHO,3.7
Cameron Reynolds,2TM,-24.8
Caris LeVert,2TM,-2.3
Carmelo Anthony,POR,-6.4
Carsen Edwards,BOS,-6.7
Cassius Stanley,IND,9.3
Cassius Winston,WAS,-22.5
Cedi Osman,CLE,-3.8
Chandler Hutchison,2TM,-5.1
Charlie Brown Jr.,OKC,-1.3
Chasson Randle,ORL,-6.9
Chimezie Metu,SAC,-2.8
Chris Boucher,TOR,6.9
Chris Chiozza,BRK,0.5
Chris Paul,PHO,2.1
Chris Silva,2TM,0.6
Christian Wood,HOU,6.5
Chuma Okeke,ORL,3.8
Clint Capela,ATL,10.5
Coby White,CHI,-3.9
Cody Martin,CHO,4.3
Cody Zeller,CHO,4.5
Cole Anthony,ORL,-5.0
Collin Sexton,CLE,-1.9
Cory Joseph,2TM,-2.7
Cristiano Felício,CHI,12.5
D'Angelo Russell,MIN,-3.0
D.J. Augustin,2TM,-3.9
D.J. Wilson,2TM,-7.3
DaQuan Jeffries,2TM,0.7
Dakota Mathias,PHI,-19.0
Damian Jones,3TM,-4.8
Damian Lillard,POR,6.6
Damion Lee,GSW,0.0
Damyean Dotson,CLE,-4.8
Daniel Gafford,2TM,5.6
Daniel Oturu,LAC,-4.6
Daniel Theis,2TM,-1.9
Danilo Gallinari,ATL,0.2
Danny Green,PHI,3.8
Dante Exum,CLE,13.4
Danuel House Jr.,HOU,-5.5
Dario Šarić,PHO,7.1
Darius Bazley,OKC,-5.1
Darius Garland,CLE,3.9
Darius Miller,OKC,20.2
David Nwaba,HOU,8.4
De'Aaron Fox,SAC,-2.1
De'Andre Hunter,ATL,4.2
De'Anthony Melton,MEM,6.7
DeAndre Jordan,BRK,-8.9
DeAndre' Bembry,TOR,2.0
DeMar DeRozan,SAS,-1.9
DeMarcus Cousins,2TM,0.0
Dean Wade,CLE,-2.1
Deandre Ayton,PHO,-0.2
Deividas Sirvydis,DET,-7.4
Dejounte Murray,SAS,8.9
Delon Wright,2TM,1.7
Deni Avdija,WAS,-1.1
Dennis Schröder,LAL,-0.4
Dennis Smith Jr.,2TM,2.4
Denzel Valentine,CHI,4.0
Derrick Favors,UTA,-11.7
Derrick Jones Jr.,POR,-3.3
Derrick Rose,2TM,6.6
Derrick White,SAS,9.4
Desmond Bane,MEM,-2.8
Devin Booker,PHO,3.1
Devin Cannady,ORL,-3.8
Devin Vassell,SAS,-1.1
Devon Dotson,CHI,32.7
Devontae Cacok,LAL,14.4
Devonte' Graham,CHO,7.5
Dewayne Dedmon,MIA,16.9
Didi Louzada,NOP,-11.5
Dillon Brooks,MEM,7.2
Domantas Sabonis,IND,-5.3
Donovan Mitchell,UTA,-3.2
Donta Hall,ORL,7.0
Donte DiVincenzo,MIL,3.7
Dorian Finney-Smith,DAL,6.7
Doug McDermott,IND,-4.5
Draymond Green,GSW,9.6
Drew Eubanks,SAS,-4.7
Duncan Robinson,MIA,5.1
Dwayne Bacon,ORL,-4.5
Dwight Howard,PHI,-11.9
Dwight Powell,DAL,2.4
Dylan Windler,CLE,3.6
Dāvis Bertāns,WAS,6.4
E'Twaun Moore,PHO,-7.3
Ed Davis,MIN,-2.6
Edmond Sumner,IND,-1.9
Elfrid Payton,NYK,-9.4
Elijah Bryant,MIL,8.9
Elijah Hughes,UTA,-36.2
Enes Freedom,POR,4.1
Eric Bledsoe,NOP,-1.9
Eric Gordon,HOU,4.4
Eric Paschall,GSW,-9.4
Ersan İlyasova,UTA,-5.8
Evan Fournier,2TM,4.4
Facundo Campazzo,DEN,-2.5
Frank Jackson,DET,5.0
Frank Kaminsky,PHO,-2.3
Frank Mason III,ORL,-1.1
Frank Ntilikina,NYK,-4.4
Fred VanVleet,TOR,8.5
Freddie Gillespie,TOR,-10.6
Furkan Korkmaz,PHI,1.8
Gabe Vincent,MIA,-5.9
Gabriel Deck,OKC,-1.9
Garrett Temple,CHI,4.4
Garrison Mathews,WAS,-5.2
Gary Clark,3TM,0.4
Gary Harris,2TM,-2.9
Gary Payton II,GSW,7.9
Gary Trent Jr.,2TM,-4.2
George Hill,2TM,3.9
Georges Niang,UTA,8.0
Giannis Antetokounmpo,MIL,6.7
Glenn Robinson III,SAC,-14.0
Goga Bitadze,IND,-1.3
Goran Dragić,MIA,1.3
Gordon Hayward,CHO,4.2
Gorgui Dieng,2TM,-7.4
Grant Riller,CHO,-13.8
Grant Williams,BOS,-4.2
Grayson Allen,MEM,-1.1
Greg Whittington,DEN,28.1
Hamidou Diallo,2TM,1.2
Harrison Barnes,SAC,6.5
Harry Giles,POR,-11.1
Hassan Whiteside,SAC,-5.7
Henry Ellenson,TOR,10.6
Ignas Brazdeikis,3TM,2.8
Iman Shumpert,BRK,-5.2
Immanuel Quickley,NYK,6.6
Isaac Bonga,WAS,0.4
Isaac Okoro,CLE,-1.2
Isaiah Hartenstein,2TM,2.5
Isaiah Joe,PHI,-6.7
Isaiah Roby,OKC,-6.1
Isaiah Stewart,DET,5.2
Isaiah Thomas,NOP,6.4
Ish Smith,WAS,5.7
Ivica Zubac,LAC,-2.1
JJ Redick,2TM,-1.9
Ja Morant,MEM,3.4
JaKarr Sampson,IND,0.5
JaMychal Green,DEN,-1.6
JaVale McGee,2TM,0.4
Jabari Parker,2TM,-6.7
Jaden McDaniels,MIN,3.6
Jae Crowder,PHO,1.8
Jae'Sean Tate,HOU,8.6
Jahlil Okafor,DET,-6.4
Jahmi'us Ramsey,SAC,3.1
Jake Layman,MIN,-2.7
Jakob Poeltl,SAS,10.3
Jalen Brunson,DAL,4.2
Jalen Harris,TOR,1.1
Jalen Lecque,IND,-19.3
Jalen McDaniels,CHO,-9.2
Jalen Smith,PHO,-10.1
Jamal Murray,DEN,5.3
James Ennis III,ORL,7.6
James Harden,2TM,0.7
James Johnson,2TM,-7.8
James Nunnally,NOP,-6.9
James Wiseman,GSW,-14.6
Jared Dudley,LAL,-2.1
Jared Harper,NYK,-8.3
Jaren Jackson Jr.,MEM,-14.7
Jarred Vanderbilt,MIN,6.1
Jarrell Brantley,UTA,-16.2
Jarrett Allen,2TM,-0.4
Jarrett Culver,MIN,-6.5
Javonte Green,2TM,2.5
Jaxson Hayes,NOP,-0.6
Jay Scrubb,LAC,-5.5
Jaylen Adams,MIL,-44.1
Jaylen Brown,BOS,0.6
Jaylen Hoard,OKC,2.1
Jaylen Nowell,MIN,-1.1
Jayson Tatum,BOS,5.3
Jeff Green,BRK,-2.7
Jeff Teague,2TM,-0.4
Jerami Grant,DET,2.3
Jeremiah Martin,CLE,-13.6
Jeremy Lamb,IND,-0.3
Jerome Robinson,WAS,-15.1
Jevon Carter,PHO,-2.7
Jimmy Butler,MIA,10.7
Joe Harris,BRK,4.1
Joe Ingles,UTA,5.4
Joel Embiid,PHI,12.3
John Collins,ATL,4.5
John Konchar,MEM,0.2
John Wall,HOU,2.8
Jonas Valančiūnas,MEM,4.4
Jontay Porter,MEM,1.4
Jordan Bell,2TM,-17.6
Jordan Bone,ORL,-7.2
Jordan Clarkson,UTA,-3.5
Jordan McLaughlin,MIN,-1.4
Jordan Nwora,MIL,-5.0
Jordan Poole,GSW,-1.4
Josh Green,DAL,-0.3
Josh Hall,OKC,-3.4
Josh Hart,NOP,1.1
Josh Jackson,DET,2.2
Josh Okogie,MIN,-0.7
Josh Richardson,DAL,-4.7
Jrue Holiday,MIL,7.1
Juan Toscano-Anderson,GSW,4.3
Juancho Hernangómez,MIN,1.5
Julius Randle,NYK,0.2
Justin Holiday,IND,-1.8
Justin Jackson,2TM,6.8
Justin James,SAC,-4.9
Justin Patton,HOU,-8.3
Justin Robinson,OKC,-16.8
