Player,Team,G,MP,TS%,MPG
Aaron Gordon,DEN,75.0,2376.0,0.602,31.68
Aaron Henry,PHI,6.0,17.0,0.2,2.8333333333333335
Aaron Holiday,2TM,63.0,1021.0,0.544,16.206349206349206
Aaron Nesmith,BOS,52.0,574.0,0.507,11.038461538461538
Aaron Wiggins,OKC,50.0,1209.0,0.556,24.18
Abdel Nader,PHO,14.0,145.0,0.431,10.357142857142858
Admiral Schofield,ORL,38.0,469.0,0.538,12.342105263157896
Ahmad Caver,IND,1.0,1.0,1.0,1.0
Al Horford,BOS,69.0,2005.0,0.574,29.057971014492754
Alec Burks,NYK,81.0,2318.0,0.559,28.617283950617285
Aleem Ford,ORL,5.0,74.0,0.35,14.8
Aleksej Pokusevski,OKC,61.0,1233.0,0.485,20.21311475409836
Alex Caruso,CHI,41.0,1147.0,0.528,27.975609756097562
Alex Len,SAC,39.0,620.0,0.577,15.897435897435898
Alfonzo McKinnie,CHI,17.0,206.0,0.457,12.117647058823529
Alize Johnson,3TM,23.0,167.0,0.463,7.260869565217392
Alperen Şengün,HOU,72.0,1489.0,0.552,20.680555555555557
Amir Coffey,LAC,69.0,1567.0,0.598,22.71014492753623
Andre Drummond,2TM,73.0,1437.0,0.574,19.684931506849313
Andre Iguodala,GSW,31.0,603.0,0.478,19.451612903225808
Andrew Wiggins,GSW,73.0,2329.0,0.56,31.904109589041095
Anfernee Simons,POR,57.0,1681.0,0.583,29.49122807017544
Anthony Davis,LAL,40.0,1404.0,0.578,35.1
Anthony Edwards,MIN,72.0,2466.0,0.56,34.25
Anthony Gill,WAS,44.0,463.0,0.682,10.522727272727273
Anthony Lamb,SAS,2.0,8.0,0.0,4.0
Armoni Brooks,2TM,54.0,844.0,0.483,15.62962962962963
Arnoldas Kulboka,CHO,2.0,5.0,0.0,2.5
Austin Reaves,LAL,61.0,1418.0,0.6,23.24590163934426
Austin Rivers,DEN,67.0,1480.0,0.546,22.08955223880597
Avery Bradley,LAL,62.0,1406.0,0.55,22.677419354838708
Ayo Dosunmu,CHI,77.0,2110.0,0.596,27.4025974025974
B.J. Johnson,ORL,4.0,65.0,0.52,16.25
Bam Adebayo,MIA,56.0,1825.0,0.608,32.589285714285715
Ben McLemore,POR,64.0,1285.0,0.567,20.078125
Bismack Biyombo,PHO,36.0,506.0,0.596,14.055555555555555
Blake Griffin,BRK,56.0,958.0,0.518,17.107142857142858
Boban Marjanović,DAL,23.0,128.0,0.615,5.565217391304348
Bobby Portis,MIL,72.0,2028.0,0.571,28.166666666666668
Bogdan Bogdanović,ATL,63.0,1848.0,0.562,29.333333333333332
Bojan Bogdanović,UTA,69.0,2131.0,0.599,30.884057971014492
Bol Bol,DEN,14.0,81.0,0.565,5.785714285714286
Bones Hyland,DEN,69.0,1310.0,0.558,18.985507246376812
Brad Wanamaker,2TM,23.0,320.0,0.472,13.91304347826087
Bradley Beal,WAS,40.0,1439.0,0.539,35.975
Brandon Boston Jr.,LAC,51.0,760.0,0.481,14.901960784313726
