Player,TS%
lebron james,0.621
khris middleton,0.577
andrew wiggins,0.505
bradley beal,0.564
jrue holiday,0.57
cj mccollum,0.536
karl-anthony towns,0.646
russell westbrook,0.524
paul george,0.57
giannis antetokounmpo,0.598
kemba walker,0.572
ben simmons,0.557
anthony davis,0.612
taj gibson,0.61
demar derozan,0.555
josh richardson,0.551
will barton,0.562
damian lillard,0.594
tobias harris,0.565
donovan mitchell,0.541
harrison barnes,0.539
andre drummond,0.555
thaddeus young,0.528
lou williams,0.574
e'twaun moore,0.593
joe ingles,0.623
jamal murray,0.576
victor oladipo,0.577
james harden,0.619
robert covington,0.563
kyle lowry,0.598
lamarcus aldridge,0.57
klay thompson,0.598
carmelo anthony,0.503
steven adams,0.63
taurean prince,0.549
bojan bogdanovic,0.605
dwight howard,0.577
kentavious caldwell-pope,0.561
jayson tatum,0.586
nikola jokic,0.603
otto porter jr.,0.602
deandre jordan,0.648
marc gasol,0.532
kyle kuzma,0.549
goran dragic,0.543
dillon brooks,0.531
wilson chandler,0.542
kevin durant,0.64
eric bledsoe,0.582
jeff teague,0.553
dario saric,0.582
courtney lee,0.564
spencer dinwiddie,0.527
gary harris,0.597
draymond green,0.556
yogi ferrell,0.54
p.j. tucker,0.537
al horford,0.575
trevor ariza,0.567
justin holiday,0.513
ricky rubio,0.537
j.r. smith,0.534
kelly oubre jr.,0.534
cory joseph,0.503
allen crabbe,0.558
julius randle,0.606
demarre carroll,0.55
bogdan bogdanovic,0.556
jimmy butler,0.59
eric gordon,0.578
derrick favors,0.593
jaylen brown,0.562
t.j. warren,0.541
wesley matthews,0.541
jj redick,0.614
patty mills,0.558
denzel valentine,0.527
serge ibaka,0.574
jae crowder,0.525
jusuf nurkic,0.528
dennis schroder,0.515
marcin gortat,0.546
al-farouq aminu,0.522
dragan bender,0.524
terry rozier,0.52
austin rivers,0.526
tony snell,0.578
tyler johnson,0.549
dennis smith jr.,0.473
willie cauley-stein,0.529
ish smith,0.525
wayne ellington,0.588
evan turner,0.52
clint capela,0.65
jonathon simmons,0.555
de'aaron fox,0.478
buddy hield,0.557
lauri markkanen,0.552
darren collison,0.61
marvin williams,0.603
nicolas batum,0.523
kyle anderson,0.582
joe harris,0.634
brandon ingram,0.536
john henson,0.582
blake griffin,0.544
markieff morris,0.566
jeremy lamb,0.559
josh jackson,0.48
marco belinelli,0.581
darius miller,0.617
james johnson,0.575
kyrie irving,0.61
rondae hollis-jefferson,0.548
joel embiid,0.573
aaron gordon,0.53
dirk nowitzki,0.575
stanley johnson,0.48
jordan clarkson,0.542
tim hardaway jr.,0.533
devin booker,0.561
caris levert,0.525
lance stephenson,0.495
michael kidd-gilchrist,0.536
chris paul,0.604
evan fournier,0.577
myles turner,0.567
frank kaminsky,0.545
enes freedom,0.63
jeff green,0.587
rudy gobert,0.657
pau gasol,0.539
george hill,0.58
domantas sabonis,0.567
elfrid payton,0.538
danny green,0.509
kent bazemore,0.547
john collins,0.62
lonzo ball,0.444
kelly olynyk,0.612
doug mcdermott,0.579
d.j. augustin,0.615
anthony tolliver,0.663
dejounte murray,0.485
demarcus cousins,0.583
brook lopez,0.557
reggie bullock,0.615
ersan ilyasova,0.558
jonas valanciunas,0.628
ryan anderson,0.592
frank ntilikina,0.437
t.j. mcconnell,0.545
rajon rondo,0.522
robin lopez,0.552
jerian grant,0.528
nikola vucevic,0.533
justise winslow,0.496
pascal siakam,0.549
dwight powell,0.656
jarell martin,0.516
tyler ulis,0.465
mario hezonja,0.544
jamal crawford,0.519
michael beasley,0.556
kevin love,0.614
jerami grant,0.607
david nwaba,0.542
bobby portis,0.548
tomas satoransky,0.615
stephen curry,0.675
troy daniels,0.583
andre iguodala,0.536
rodney hood,0.546
garrett temple,0.536
marcus smart,0.479
tyreke evans,0.561
james ennis iii,0.588
j.j. barea,0.545
kyle korver,0.652
luc mbah a moute,0.595
dante cunningham,0.539
kristaps porzingis,0.539
jarrett jack,0.489
dewayne dedmon,0.599
jamychal green,0.53
dwyane wade,0.5
shabazz napier,0.544
marquese chriss,0.509
kris dunn,0.488
jakob poeltl,0.662
fred vanvleet,0.556
bryn forbes,0.525
zach randolph,0.529
justin jackson,0.521
bismack biyombo,0.556
nikola mirotic,0.577
pat connaughton,0.539
wesley johnson,0.512
aron baynes,0.502
og anunoby,0.587
ed davis,0.607
tyus jones,0.572
luke kennard,0.56
josh hart,0.596
ian clark,0.529
marcus morris,0.541
jarrett allen,0.636
mason plumlee,0.586
malcolm brogdon,0.578
delon wright,0.574
avery bradley,0.496
mario chalmers,0.503
larry nance jr.,0.605
john wall,0.515
mike scott,0.599
alex len,0.612
nick young,0.562
trey lyles,0.591
kosta koufos,0.566
kyle o'quinn,0.625
nemanja bjelica,0.581
bam adebayo,0.57
raymond felton,0.494
shelvin mack,0.518
hassan whiteside,0.573
quincy acy,0.525
lance thomas,0.513
devin harris,0.563
c.j. miles,0.545
gorgui dieng,0.543
andrew harrison,0.534
manu ginobili,0.553
montrezl harrell,0.647
patrick patterson,0.555
maurice harkless,0.596
emmanuel mudiay,0.474
skal labissiere,0.513
thon maker,0.499
d'angelo russell,0.509
rudy gay,0.545
corey brewer,0.534
maxi kleber,0.576
joe johnson,0.49
reggie jackson,0.516
amir johnson,0.575
isaiah taylor,0.492
trevor booker,0.557
sindarius thornwell,0.519
tyson chandler,0.658
semi ojeleye,0.473
royce o'neale,0.54
ian mahinmi,0.601
paul millsap,0.549
alex abrines,0.567
jonas jerebko,0.586
milos teodosic,0.564
shaun livingston,0.533
jodie meeks,0.548
tyler zeller,0.598
ben mclemore,0.526
davis bertans,0.588
tristan thompson,0.569
tony parker,0.498
norman powell,0.492
mike muscala,0.597
alec burks,0.527
treveon graham,0.553
zach collins,0.475
greg monroe,0.598
andre roberson,0.543
vince carter,0.523
wes iwundu,0.48
malcolm delaney,0.519
jameer nelson,0.489
david west,0.6
frank mason iii,0.48
josh huestis,0.417
cristiano felicio,0.614
tyler dorsey,0.494
zaza pachulia,0.612
patrick mccaw,0.477
deyonta davis,0.621
daniel theis,0.616
gerald green,0.566
jerryd bayless,0.546
miles plumlee,0.574
dion waiters,0.487
jose calderon,0.643
kevon looney,0.588
sam dekker,0.534
noah vonleh,0.509
langston galloway,0.503
isaiah thomas,0.508
malik monk,0.477
tyrone wallace,0.517
tim frazier,0.475
michael carter-williams,0.446
paul zipser,0.445
jason terry,0.525
ekpe udoh,0.56
jordan bell,0.641
timothe luwawu-cabarrot,0.511
thabo sefolosha,0.591
eric moreland,0.531
trey burke,0.563
jawun evans,0.421
sterling brown,0.503
shane larkin,0.491
terrance ferguson,0.545
nene,0.594
richaun holmes,0.585
jabari parker,0.55
omri casspi,0.632
quinn cook,0.593
salah mejri,0.644
deandre liggins,0.467
luke babbitt,0.576
dwayne bacon,0.431
matthew dellavedova,0.5
c.j. williams,0.512
channing frye,0.599
wayne selden,0.551
chandler parsons,0.578
mike james,0.469
jared dudley,0.553
tyler ennis,0.473
arron afflalo,0.516
marreese speights,0.539
cedi osman,0.577
danilo gallinari,0.545
zach lavine,0.499
kobi simmons,0.49
sean kilpatrick,0.507
torrey craig,0.535
cody zeller,0.602
javale mcgee,0.641
terrence ross,0.505
malik beasley,0.509
cameron payne,0.498
cheick diallo,0.619
khem birch,0.582
brandon paul,0.504
alex caruso,0.519
joe young,0.521
tarik black,0.582
jonathan isaac,0.465
joffrey lauvergne,0.536
nik stauskas,0.543
abdel nader,0.439
justin anderson,0.54
tyler cavanaugh,0.567
ivan rabb,0.599
raul neto,0.55
willy hernangomez,0.604
al jefferson,0.563
kyle collinsworth,0.433
damyean dotson,0.532
nerlens noel,0.558
kenneth faried,0.552
t.j. leaf,0.545
deandre' bembry,0.477
dorian finney-smith,0.482
willie reed,0.671
dwight buycks,0.498
isaiah canaan,0.539
derrick rose,0.507
lucas nogueira,0.661
shabazz muhammad,0.51
ivica zubac,0.557
damion lee,0.489
danuel house jr.,0.533
ramon sessions,0.479
ron baker,0.504
shaquille harrison,0.54
brandan wright,0.596
johnny o'bryant,0.47
myke henry,0.472
mike conley,0.52
timofey mozgov,0.617
emeka okafor,0.545
jahlil okafor,0.584
jakarr sampson,0.585
glenn robinson iii,0.529
boban marjanovic,0.616
patrick beverley,0.53
henry ellenson,0.476
luke kornet,0.516
malachi richardson,0.446
antonio blakeney,0.471
troy williams,0.544
ryan arcidiacono,0.55
rodney mcgruder,0.595
rodney purvis,0.423
jason smith,0.455
jordan mickey,0.515
jamel artis,0.457
juancho hernangomez,0.511
iman shumpert,0.48
jamil wilson,0.634
tony allen,0.514
meyers leonard,0.676
markelle fultz,0.416
derrick jones jr.,0.48
davon reed,0.388
isaiah hicks,0.501
briante weber,0.527
guerschon yabusele,0.559
dante exum,0.566
aaron harrison,0.392
travis wear,0.497
alec peters,0.523
marcus georges-hunt,0.515
gary payton ii,0.443
andrew bogut,0.696
josh magette,0.464
ante zizic,0.746
rashad vaughn,0.546
kawhi leonard,0.572
andrew white,0.461
brandon jennings,0.478
quincy pondexter,0.398
marshon brooks,0.629
aaron brooks,0.508
caleb swanigan,0.449
solomon hill,0.332
omer ask,0.397
jalen jones,0.485
isaiah whitehead,0.53
johnathan motley,0.55
julyan stone,0.684
john holland,0.417
richard jefferson,0.499
dakari johnson,0.575
jake layman,0.352
mirza teletovic,0.623
damien wilkins,0.405
derrick walton,0.525
darrell arthur,0.559
kay felder,0.379
derrick white,0.646
lorenzo brown,0.459
jon leuer,0.505
malcolm miller,0.638
milton doyle,0.337
zhou qi,0.295
antonius cleveland,0.486
georgios papagiannis,0.429
nigel hayes-davis,0.393
james webb iii,0.333
xavier rathan-mayes,0.315
bobby brown,0.425
jabari bird,0.615
kadeem allen,0.366
bruno caboclo,0.386
alex poythress,0.5
jaylen morris,0.438
brice johnson,0.486
darrun hilliard,0.362
chris mccullough,0.478
damian jones,0.517
jack cooley,0.566
josh gray,0.349
furkan korkmaz,0.386
wade baldwin,0.748
okaro white,0.577
demetrius jackson,0.424
nick collison,0.627
omari johnson,0.524
marquis teague,0.302
thomas bryant,0.441
udonis haslem,0.252
d.j. wilson,0.622
alan williams,0.455
larry drew ii,0.354
london perrantes,0.23
gian clavell,0.53
andre ingram,0.655
james young,0.511
kyle singler,0.43
alfonzo mckinnie,0.643
jordan crawford,0.601
marshall plumlee,0.697
cole aldrich,0.34
vander blue,0.255
r.j. hunter,0.455
adreian payne,0.831
joakim noah,0.51
jonathan gibson,0.739
jeff withey,0.444
charles cooke,0.202
joel bolomboy,0.521
walt lemon jr.,0.491
aaron jackson,0.405
jacob wiley,0.41
georges niang,0.379
matt costello,0.5
markel brown,0.357
ike anigbogu,0.558
tony bradley,0.337
daniel hamilton,0.545
marcus paige,0.403
jameel warney,0.599
monte morris,0.727
jeremy lin,0.597
chinanu onuaku,0.4
xavier munford,0.218
mangok mathiang,0.538
nate wolters,0.167
james michael mcadoo,0.508
kendrick perkins,0.521
tim quarterman,0.515
luol deng,0.5
devin robinson,0.333
josh smith,0.25
matt williams,0.417
nicolas brussino,0.0
david stockton,1.05
ben moore,
derrick williams,0.25
jarell eddie,0.0
erik mccree,0.0
luis montero,0.0
scotty hopson,0.266
vince hunter,0.6
reggie hearn,0.75
xavier silas,0.0
jacob pullen,0.5
josh mcroberts,0.0
jeremy evans,1.0
gordon hayward,0.5
anthony brown,1.5
justin patton,0.5
pj dozier,0.5
mindaugas kuzminskas,0.0
tyler lydon,
edmond sumner,1.0
chris boucher,0.0
trey mckinney-jones,
naz mitrou-long,1.5
league average,0.556
