Player,dpm,d_dpm,o_dpm
stephen curry,7.16,1.08,6.08
lebron james,7.04,0.81,6.23
chris paul,6.86,2.24,4.62
kawhi leonard,6.11,2.09,4.02
russell westbrook,6.1,0.39,5.71
james harden,5.68,-0.72,6.39
nikola jokic,5.62,1.85,3.77
kevin durant,4.99,-0.37,5.36
victor oladipo,4.64,2.0,2.63
jimmy butler,4.31,1.31,3.0
kyle lowry,4.19,1.5,2.69
giannis antetokounmpo,4.06,1.54,2.52
damian lillard,3.94,-1.46,5.4
draymond green,3.79,3.45,0.34
lamarcus aldridge,3.69,2.2,1.49
anthony davis,3.67,2.0,1.67
kemba walker,3.66,-0.06,3.72
eric bledsoe,3.59,1.34,2.25
jrue holiday,3.56,1.41,2.15
mike conley,3.53,-0.26,3.78
kyrie irving,3.19,-1.19,4.37
paul george,3.19,1.12,2.07
demarcus cousins,3.09,1.52,1.57
ricky rubio,3.05,2.26,0.79
rudy gobert,3.05,3.93,-0.89
robert covington,2.99,2.73,0.26
joel embiid,2.99,1.98,1.01
otto porter jr.,2.96,1.12,1.84
john wall,2.7,0.12,2.58
khris middleton,2.64,0.66,1.98
steven adams,2.62,2.37,0.25
cody zeller,2.59,2.32,0.27
blake griffin,2.54,0.35,2.18
andre roberson,2.51,3.3,-0.8
karl-anthony towns,2.36,0.17,2.2
bradley beal,2.21,-0.57,2.79
thaddeus young,2.16,1.89,0.27
al horford,2.05,2.14,-0.09
andre iguodala,2.01,2.23,-0.22
larry nance jr.,1.99,1.68,0.31
kyle anderson,1.98,2.25,-0.27
kelly olynyk,1.91,0.74,1.17
nene,1.9,2.99,-1.09
cj mccollum,1.89,0.21,1.68
clint capela,1.78,1.93,-0.16
dwight powell,1.76,1.37,0.39
paul millsap,1.74,1.68,0.06
derrick favors,1.7,2.28,-0.58
danny green,1.65,2.44,-0.79
tyreke evans,1.61,-0.21,1.82
jusuf nurkic,1.56,2.36,-0.8
klay thompson,1.53,-0.39,1.92
dejounte murray,1.5,1.92,-0.42
maurice harkless,1.49,1.52,-0.03
fred vanvleet,1.4,0.42,0.97
jayson tatum,1.39,1.0,0.4
al-farouq aminu,1.38,1.57,-0.19
nikola mirotic,1.37,0.43,0.94
ben simmons,1.36,0.51,0.85
thabo sefolosha,1.36,1.85,-0.49
lucas nogueira,1.35,1.9,-0.55
donovan mitchell,1.32,-0.44,1.76
taj gibson,1.28,0.83,0.45
george hill,1.27,-0.11,1.38
kevon looney,1.27,1.8,-0.53
james johnson,1.26,1.28,-0.02
delon wright,1.24,1.05,0.19
kevin love,1.23,-0.18,1.41
boban marjanovic,1.22,0.7,0.52
deandre jordan,1.21,1.51,-0.3
eric gordon,1.2,-1.07,2.26
salah mejri,1.19,2.23,-1.04
goran dragic,1.17,-0.28,1.46
josh richardson,1.14,1.44,-0.3
spencer dinwiddie,1.13,-0.08,1.22
j.j. barea,1.1,-1.19,2.28
dwight howard,1.08,1.4,-0.32
montrezl harrell,1.03,-0.7,1.73
patrick beverley,1.01,0.73,0.29
jared dudley,0.99,1.43,-0.44
zaza pachulia,0.99,2.69,-1.7
anthony tolliver,0.97,0.76,0.2
tyus jones,0.97,0.66,0.31
joe ingles,0.96,0.59,0.37
danilo gallinari,0.96,-0.12,1.09
kristaps porzingis,0.95,0.86,0.09
kentavious caldwell-pope,0.94,0.35,0.59
p.j. tucker,0.89,1.34,-0.45
michael kidd-gilchrist,0.89,1.01,-0.12
jj redick,0.85,-1.54,2.39
amir johnson,0.83,2.3,-1.47
luc mbah a moute,0.83,2.16,-1.33
gary harris,0.82,-1.09,1.91
marcus smart,0.8,1.11,-0.31
nikola vucevic,0.8,1.76,-0.96
darren collison,0.78,-0.52,1.3
marvin williams,0.76,0.7,0.06
trevor ariza,0.72,0.92,-0.2
gordon hayward,0.72,-0.41,1.13
marcin gortat,0.7,2.31,-1.6
brook lopez,0.69,1.04,-0.35
kyle o'quinn,0.67,1.6,-0.94
jakob poeltl,0.67,1.16,-0.49
mike muscala,0.65,0.62,0.03
pascal siakam,0.65,0.96,-0.31
terry rozier,0.63,0.34,0.29
john henson,0.62,1.66,-1.05
cj miles,0.6,-0.18,0.78
jeff teague,0.6,-0.58,1.19
andre ingram,0.59,0.73,-0.14
dewayne dedmon,0.58,1.47,-0.89
jaylen brown,0.56,0.07,0.5
marshon brooks,0.56,-0.53,1.09
ryan anderson,0.56,-0.42,0.99
ersan ilyasova,0.56,0.85,-0.29
serge ibaka,0.55,0.41,0.14
dario saric,0.55,-0.17,0.72
aaron gordon,0.53,-0.04,0.57
seth curry,0.52,-0.57,1.09
e'twaun moore,0.51,0.33,0.18
kyle korver,0.47,0.28,0.19
tyler johnson,0.46,0.26,0.19
rudy gay,0.46,0.62,-0.16
demarre carroll,0.45,0.02,0.43
marc gasol,0.45,1.5,-1.05
nicolas batum,0.44,-0.68,1.11
markieff morris,0.43,0.56,-0.13
rondae hollis-jefferson,0.39,0.66,-0.27
lonzo ball,0.38,1.2,-0.82
jamal murray,0.37,-1.01,1.39
ian mahinmi,0.35,2.08,-1.72
willy hernangomez,0.34,0.26,0.08
demar derozan,0.32,-1.72,2.04
shabazz napier,0.28,0.76,-0.47
buddy hield,0.28,-0.08,0.36
hassan whiteside,0.27,1.01,-0.74
jordan bell,0.26,1.16,-0.9
jeremy lamb,0.26,-0.61,0.86
tony allen,0.24,2.21,-1.96
chris mccullough,0.21,0.93,-0.72
bobby portis,0.2,-0.25,0.45
wayne ellington,0.19,-0.58,0.77
og anunoby,0.18,0.75,-0.57
davis bertans,0.18,0.22,-0.04
patty mills,0.17,-0.41,0.57
jeremy evans,0.15,0.96,-0.8
myles turner,0.15,1.54,-1.4
manu ginobili,0.13,0.26,-0.13
carmelo anthony,0.13,-0.26,0.4
brandon ingram,0.13,0.11,0.02
stanley johnson,0.12,1.2,-1.07
kent bazemore,0.12,0.74,-0.61
terrence ross,0.11,0.11,0.0
ron baker,0.1,1.06,-0.96
ish smith,0.07,-0.32,0.39
ekpe udoh,0.03,1.87,-1.85
jonathan isaac,0.02,1.92,-1.91
brandan wright,0.02,0.76,-0.74
andre drummond,0.01,0.39,-0.38
javale mcgee,0.0,0.43,-0.43
maxi kleber,-0.01,0.44,-0.44
cole aldrich,-0.01,1.62,-1.63
reggie jackson,-0.04,-0.74,0.7
richaun holmes,-0.05,0.51,-0.56
channing frye,-0.06,0.1,-0.16
justin holiday,-0.09,0.57,-0.66
allen crabbe,-0.09,-0.78,0.69
reggie bullock,-0.09,-0.4,0.31
dirk nowitzki,-0.1,0.49,-0.58
ed davis,-0.11,1.47,-1.58
aron baynes,-0.11,2.2,-2.31
jonas valanciunas,-0.13,0.23,-0.35
jae crowder,-0.15,0.43,-0.57
nemanja bjelica,-0.17,0.05,-0.22
jeff withey,-0.22,0.81,-1.03
wilson chandler,-0.22,-0.55,0.33
bojan bogdanovic,-0.22,-0.65,0.43
mindaugas kuzminskas,-0.22,-0.39,0.17
robin lopez,-0.23,1.42,-1.65
kosta koufos,-0.25,1.43,-1.67
devin harris,-0.26,-0.39,0.13
malcolm brogdon,-0.28,-0.69,0.41
willie cauley-stein,-0.29,0.59,-0.89
evan fournier,-0.31,-1.27,0.95
josh hart,-0.33,-0.29,-0.03
mason plumlee,-0.33,0.47,-0.8
tim hardaway jr.,-0.38,-1.01,0.64
tobias harris,-0.38,-0.9,0.53
derrick white,-0.41,0.46,-0.87
mario chalmers,-0.42,0.56,-0.98
troy williams,-0.43,0.27,-0.7
justise winslow,-0.43,0.85,-1.27
jerian grant,-0.43,-0.2,-0.22
james michael mcadoo,-0.45,0.51,-0.97
patrick patterson,-0.47,0.48,-0.95
dennis schroder,-0.49,-1.23,0.75
rodney mcgruder,-0.49,-0.05,-0.44
noah vonleh,-0.5,0.32,-0.82
will barton,-0.51,-1.12,0.62
lou williams,-0.52,-2.94,2.42
