Player,LEBRON,D-LEBRON,O-LEBRON
giannis antetokounmpo,7.44,3.109,4.331
anthony davis,6.767,2.353,4.414
james harden,5.472,-0.951,6.423
paul george,5.223,1.422,3.801
kevin durant,4.851,0.838,4.013
damian lillard,4.746,-0.423,5.169
rudy gobert,4.682,3.509,1.173
lebron james,4.631,0.561,4.07
nikola jokic,4.577,1.049,3.528
russell westbrook,4.461,1.017,3.444
stephen curry,4.221,-0.482,4.703
kawhi leonard,4.088,0.549,3.539
joel embiid,4.073,1.787,2.286
karl-anthony towns,3.712,0.235,3.478
eric bledsoe,3.522,1.053,2.469
mike conley,3.421,-0.287,3.708
jusuf nurkic,3.36,2.098,1.262
nikola vucevic,3.333,1.811,1.522
kyrie irving,3.291,0.158,3.134
hassan whiteside,3.177,2.217,0.96
jrue holiday,3.112,-0.079,3.19
kyle lowry,3.067,0.868,2.198
chris paul,3.006,1.081,1.925
derrick favors,2.976,2.101,0.875
kevin love,2.894,0.657,2.237
brook lopez,2.883,3.058,-0.176
kemba walker,2.841,-1.049,3.891
andre drummond,2.538,2.416,0.122
danilo gallinari,2.32,0.016,2.303
myles turner,2.308,3.171,-0.863
otto porter jr.,2.213,1.595,0.619
paul millsap,2.138,1.427,0.711
demarcus cousins,2.093,1.391,0.702
robert covington,2.049,2.5,-0.45
victor oladipo,2.023,0.697,1.326
jimmy butler iii,1.878,-0.077,1.955
domantas sabonis,1.819,1.186,0.633
blake griffin,1.814,0.344,1.47
joe ingles,1.774,1.166,0.608
khris middleton,1.769,0.47,1.3
clint capela,1.769,0.71,1.059
thaddeus young,1.748,1.448,0.3
pascal siakam,1.738,0.926,0.813
joakim noah,1.722,1.806,-0.084
ben simmons,1.688,0.424,1.264
malcolm brogdon,1.679,0.254,1.425
dwight powell,1.648,0.526,1.123
marc gasol,1.561,2.153,-0.591
lamarcus aldridge,1.551,0.545,1.006
willie cauley-stein,1.55,1.668,-0.118
enes freedom,1.546,-0.418,1.964
steven adams,1.506,0.976,0.531
jayson tatum,1.466,1.298,0.167
luka doncic,1.426,-0.281,1.707
andre iguodala,1.406,1.389,0.016
boban marjanovic,1.361,0.419,0.942
pau gasol,1.346,1.56,-0.214
patrick beverley,1.302,0.861,0.44
al-farouq aminu,1.301,1.444,-0.143
al horford,1.3,1.008,0.292
cory joseph,1.267,1.356,-0.089
bam adebayo,1.26,2.601,-1.341
jeremy lamb,1.255,0.394,0.862
shabazz napier,1.252,-0.08,1.331
mason plumlee,1.201,1.552,-0.351
kevon looney,1.192,0.264,0.928
ed davis,1.185,2.095,-0.91
donovan mitchell,1.183,0.181,1.002
jakob poeltl,1.17,1.406,-0.235
jerami grant,1.155,1.461,-0.306
d'angelo russell,1.152,-0.634,1.786
daniel theis,1.135,0.957,0.178
bradley beal,1.127,-1.203,2.33
de'aaron fox,1.105,-0.046,1.151
ricky rubio,1.092,0.786,0.306
draymond green,1.088,2.502,-1.414
montrezl harrell,1.086,-0.168,1.254
davis bertans,1.076,1.232,-0.156
demar derozan,1.064,0.555,0.509
danny green,1.045,0.883,0.162
nemanja bjelica,1.033,1.192,-0.16
jeff teague,1.005,-0.245,1.25
j.j. barea,0.995,-0.916,1.911
john wall,0.983,0.029,0.954
thomas bryant,0.978,0.427,0.551
mitchell robinson,0.964,2.062,-1.098
serge ibaka,0.954,0.304,0.65
gordon hayward,0.952,0.432,0.52
derrick white,0.945,1.444,-0.499
michael carter-williams,0.942,0.466,0.476
javale mcgee,0.924,1.293,-0.37
marcus smart,0.884,1.202,-0.319
josh richardson,0.872,0.641,0.231
cj mccollum,0.868,-0.76,1.628
jonas valanciunas,0.865,0.59,0.275
delon wright,0.851,0.365,0.485
jamal murray,0.837,-0.678,1.515
nerlens noel,0.795,2.336,-1.541
fred vanvleet,0.742,0.05,0.692
jonas jerebko,0.74,0.276,0.464
wayne ellington,0.723,-0.08,0.803
jarrett allen,0.721,1.013,-0.292
maxi kleber,0.72,1.065,-0.345
khem birch,0.712,1.218,-0.506
jae crowder,0.692,0.003,0.688
jonathan isaac,0.662,1.741,-1.079
rudy gay,0.599,0.721,-0.122
tobias harris,0.589,-0.58,1.169
ersan ilyasova,0.555,0.753,-0.197
klay thompson,0.526,-0.544,1.07
luke kornet,0.517,1.044,-0.527
marvin williams,0.497,0.598,-0.101
dewayne dedmon,0.491,1.594,-1.103
kelly olynyk,0.48,1.03,-0.549
darren collison,0.48,-0.131,0.611
maurice harkless,0.453,1.284,-0.831
eric gordon,0.448,-1.075,1.522
lauri markkanen,0.443,-0.582,1.025
julius randle,0.434,-0.797,1.23
caris levert,0.432,-0.441,0.872
monte morris,0.412,-0.493,0.905
tyus jones,0.411,0.128,0.283
d.j. augustin,0.396,-0.299,0.695
salah mejri,0.378,1.194,-0.816
cody zeller,0.335,0.94,-0.605
nikola mirotic,0.325,-0.579,0.904
frank kaminsky,0.316,-0.392,0.708
kenneth faried,0.31,-0.353,0.663
aaron gordon,0.273,0.862,-0.589
elfrid payton,0.267,0.083,0.184
lou williams,0.249,-2.768,3.017
patty mills,0.206,-1.032,1.238
larry nance jr.,0.191,0.759,-0.567
goran dragic,0.183,-0.373,0.556
evan fournier,0.148,0.057,0.091
willy hernangomez,0.145,-0.411,0.556
ian mahinmi,0.078,1.321,-1.243
george hill,0.059,0.151,-0.092
p.j. tucker,0.055,1.505,-1.449
justise winslow,0.048,1.1,-1.052
