Player,LEBRON,O-LEBRON,D-LEBRON
Giannis Antetokounmpo,8.291,5.795,2.496
Kawhi Leonard,6.845,5.005,1.84
James Harden,6.046,6.895,-0.849
Lebron James,5.812,5.211,0.601
Anthony Davis,5.557,3.342,2.215
Jimmy Butler Iii,5.143,3.967,1.176
Luka Dončić,4.79,5.133,-0.343
Chris Paul,4.147,2.824,1.324
Khris Middleton,3.805,2.477,1.328
Joel Embiid,3.756,1.989,1.767
Kristaps Porziņģis,3.538,1.514,2.024
Karl-Anthony Towns,3.516,4.1,-0.584
Kyle Lowry,3.396,2.323,1.073
Rudy Gobert,3.387,0.334,3.053
Jayson Tatum,3.368,2.277,1.091
Nikola Vučević,3.358,1.601,1.757
Nikola Jokić,3.271,2.899,0.372
Ivica Zubac,2.842,1.341,1.501
Kyrie Irving,2.716,3.015,-0.298
Dwight Howard,2.679,0.101,2.578
Damian Lillard,2.652,5.317,-2.665
Paul George,2.636,2.23,0.406
Jarrett Allen,2.576,0.672,1.904
Jusuf Nurkić,2.529,0.763,1.765
Brook Lopez,2.485,-0.323,2.807
Hassan Whiteside,2.463,0.966,1.497
Jakob Poeltl,2.399,-0.008,2.407
Bam Adebayo,2.378,0.578,1.8
Domantas Sabonis,2.281,0.911,1.37
Christian Wood,2.255,1.525,0.731
Jonathan Isaac,2.244,-1.159,3.403
Patrick Beverley,2.228,0.169,2.059
Richaun Holmes,2.224,-0.13,2.353
Marcus Smart,2.173,1.065,1.108
Tobias Harris,2.131,1.657,0.474
Kemba Walker,1.95,2.349,-0.4
Ben Simmons,1.94,0.815,1.125
Ricky Rubio,1.915,0.721,1.194
Chris Boucher,1.876,1.479,0.396
Eric Bledsoe,1.847,1.045,0.802
Bradley Beal,1.787,3.833,-2.046
Devin Booker,1.786,3.183,-1.396
Ersan Ilyasova,1.756,0.279,1.477
Robert Covington,1.712,-0.343,2.054
Robert Williams Iii,1.707,-0.441,2.148
Elfrid Payton,1.686,1.495,0.192
Pascal Siakam,1.683,0.796,0.887
Donte Divincenzo,1.678,0.39,1.289
Paul Millsap,1.649,0.369,1.281
Danilo Gallinari,1.625,2.469,-0.844
Mitchell Robinson,1.61,0.476,1.134
George Hill,1.563,1.341,0.222
Andre Drummond,1.561,-0.972,2.533
Daniel Theis,1.561,-0.665,2.226
Montrezl Harrell,1.531,1.571,-0.04
