Player,raptor_total,raptor_defense,raptor_offense
nikola jokic,9.2,0.6,8.6
joel embiid,8.4,4.6,3.8
kawhi leonard,7.8,1.5,6.3
rudy gobert,7.8,7.9,-0.1
mike conley,7.1,2.9,4.2
stephen curry,6.8,-1.9,8.7
giannis antetokounmpo,6.6,2.3,4.2
lebron james,6.5,0.6,5.9
paul george,6.5,2.0,4.6
jimmy butler,6.1,2.3,3.8
damian lillard,6.1,-2.2,8.3
clint capela,6.0,5.2,0.8
luka doncic,5.8,-0.8,6.6
james harden,5.6,-1.6,7.2
kevin durant,5.0,0.4,4.6
fred vanvleet,4.9,2.3,2.6
thaddeus young,4.7,1.4,3.3
derrick white,4.6,3.2,1.4
draymond green,4.6,3.6,1.0
taj gibson,4.6,4.4,0.1
jakob poeltl,4.5,5.1,-0.6
jrue holiday,4.3,1.2,3.1
cameron payne,4.2,1.3,2.8
bogdan bogdanovic,4.0,1.5,2.5
donovan mitchell,3.8,-1.9,5.7
daniel gafford,3.8,2.0,1.8
cj mccollum,3.7,0.0,3.7
anthony davis,3.7,2.7,1.0
jamal murray,3.5,0.5,3.0
kyrie irving,3.5,-2.3,5.8
karl-anthony towns,3.4,-0.2,3.6
jusuf nurkic,3.4,4.2,-0.8
nicolas batum,3.4,2.4,1.0
jae crowder,3.4,3.0,0.5
montrezl harrell,3.3,2.0,1.4
bradley beal,3.3,-1.9,5.2
derrick rose,3.3,1.5,1.8
de'andre hunter,3.2,3.9,-0.7
chris paul,3.1,-1.3,4.5
kemba walker,3.1,0.2,2.8
kyle anderson,3.0,2.5,0.6
zion williamson,3.0,-0.6,3.6
danny green,2.9,2.1,0.8
al horford,2.8,3.7,-0.9
jayson tatum,2.8,-1.4,4.2
matisse thybulle,2.8,5.0,-2.2
mikal bridges,2.8,1.4,1.5
bobby portis,2.7,1.2,1.5
rudy gay,2.7,3.3,-0.6
devin booker,2.7,-0.5,3.2
john collins,2.7,0.9,1.8
jonas valanciunas,2.6,0.6,2.0
delon wright,2.6,1.7,0.9
og anunoby,2.5,2.3,0.2
robert covington,2.5,2.6,-0.1
ben simmons,2.5,1.8,0.7
julius randle,2.5,2.1,0.4
joe ingles,2.5,0.5,2.0
myles turner,2.4,4.7,-2.3
alec burks,2.4,0.6,1.9
christian wood,2.4,2.6,-0.1
shai gilgeous-alexander,2.4,-1.4,3.7
devonte' graham,2.4,0.6,1.8
jeremy lamb,2.4,-0.3,2.7
t.j. mcconnell,2.3,0.9,1.4
blake griffin,2.3,1.9,0.4
de'anthony melton,2.3,2.1,0.2
zach lavine,2.3,-1.6,3.9
michael porter jr.,2.3,-0.4,2.7
facundo campazzo,2.2,2.8,-0.6
khris middleton,2.2,-0.0,2.2
