,name,height_inches,wingspan_inches,relative
0,Alex Acker,75.75,84.0,8.25
1,Deji Akindele,81.5,87.0,5.5
3,Nemanja Aleksandrov,82.0,83.0,1.0
4,Alan Anderson,76.5,81.5,5.0
5,Martynas Andriuskevicius,85.25,83.25,-2.0
6,Sean Banks,77.75,85.0,7.25
7,Eddie Basden,76.25,82.25,6.0
8,Mike Bell,80.75,85.5,4.75
9,Andrew Bogut,83.0,87.0,4.0
10,Dee Brown,71.0,74.0,3.0
11,Will Bynum,70.5,75.5,5.0
12,Marcus Campbell,82.25,90.0,7.75
13,Will Conroy,73.0,75.0,2.0
14,Taylor Coppenrath,79.75,83.5,3.75
15,Travis Diener,71.75,71.75,0.0
16,Ike Diogu,78.5,87.5,9.0
17,Daryl Dorsey,71.25,71.5,0.25
18,Monta Ellis,74.25,74.75,0.5
19,Raymond Felton,71.5,76.25,4.75
20,Rudy Fernandez,76.75,79.5,2.75
21,D'Or Fischer,81.25,90.0,8.75
22,Eddy Fobbs,82.25,90.75,8.5
23,Sharrod Ford,79.25,85.5,6.25
24,Channing Frye,81.5,86.5,5.0
25,Deng Gai,79.75,88.5,8.75
26,Francisco Garcia,77.75,82.75,5.0
27,John Gilchrist,73.25,81.25,8.0
28,Marcin Gortat,83.0,87.5,4.5
29,Joey Graham,77.25,80.0,2.75
30,Danny Granger,79.5,85.5,6.0
31,Gerald Green,78.0,81.75,3.75
32,Charles Hayes,77.5,82.0,4.5
33,Luther Head,74.0,77.25,3.25
34,Julius Hodge,78.0,84.5,6.5
35,Jared Homan,79.75,85.25,5.5
36,Ersan Ilyasova,79.75,85.25,5.5
37,Jarrett Jack,74.5,79.5,5.0
38,Dwayne Jones,80.5,86.75,6.25
39,Mindaugas Katelynas,79.5,83.0,3.5
40,Jason Klotz,80.5,82.0,1.5
41,Carl Krauser,71.5,77.5,6.0
42,Keith Langford,74.25,81.0,6.75
43,David Lee,79.75,84.0,4.25
44,David Lucas,78.5,84.0,5.5
45,John Lucas III,69.25,72.0,2.75
46,Rawle Marshall,76.5,85.0,8.5
47,Jason Maxiell,77.0,87.25,10.25
48,Sean May,79.0,85.25,6.25
49,Rashad McCants,74.75,82.75,8.0
50,Ivan McFarlin,77.5,81.0,3.5
51,Juan Mendez,77.25,84.0,6.75
52,Aaron Miles,72.0,75.5,3.5
53,Ellis Myles,78.0,81.75,3.75
54,Larry O'Bannon,75.0,78.0,3.0
55,Drago Pasalic,81.5,83.75,2.25
56,Chris Paul,71.75,76.25,4.5
57,Kevin Pittsnogle,81.25,82.5,1.25
58,Roger Powell,76.75,83.5,6.75
59,Carlos Powell,77.25,82.75,5.5
60,Ronnie Price,72.75,77.5,4.75
61,Anthony Roberson,72.75,74.75,2.0
62,Brandon Rush,77.0,83.25,6.25
63,Luke Schenscher,83.75,89.0,5.25
64,Wayne Simien,79.25,84.0,4.75
65,Tre Simmons,76.0,79.5,3.5
66,David Simon,80.0,87.5,7.5
67,Chris Taft,80.5,85.75,5.25
68,Omar Thomas,75.25,80.0,4.75
69,Chris Thomas,71.75,75.0,3.25
70,Dijon Thompson,78.25,81.75,3.5
71,Ronny Turiaf,80.0,85.5,5.5
72,Charlie Villanueva,81.0,84.25,3.25
73,Hakim Warrick,79.25,86.0,6.75
74,Martell Webster,78.0,83.0,5.0
75,Robert Whaley,80.0,86.0,6.0
76,Marvin Williams,79.0,87.5,8.5
77,Deron Williams,73.75,78.25,4.5
78,Jawad Williams,79.0,85.25,6.25
79,Antoine Wright,77.25,80.75,3.5
80,Bracey Wright,73.25,82.0,8.75
81,Solomon Alabi,83.5,89.0,5.5
82,Cole Aldrich,81.0,88.75,7.75
83,Al-Farouq Aminu,79.25,87.25,8.0
84,James Anderson,76.75,80.5,3.75
85,Luke Babbitt,79.5,83.25,3.75
86,Eric Bledsoe,72.25,79.5,7.25
87,Trevor Booker,78.25,81.75,3.5
88,Craig Brackins,80.5,84.0,3.5
89,Avery Bradley,74.0,79.25,5.25
90,Derrick Caracter,80.25,84.25,4.0
91,Sherron Collins,70.25,74.5,4.25
92,DeMarcus Cousins,81.5,89.75,8.25
93,Jordan Crawford,75.0,79.0,4.0
94,Ed Davis,81.0,84.0,3.0
95,Devin Ebanks,79.0,84.25,5.25
96,Derrick Favors,80.75,88.0,7.25
97,Keith Gallon,80.5,88.5,8.0
98,Charles Garcia,80.25,85.75,5.5
99,Paul George,79.75,83.25,3.5
100,Luke Harangody,78.0,81.5,3.5
101,Manny Harris,76.0,79.25,3.25
102,Gordon Hayward,78.75,79.75,1.0
103,Lazar Hayward,76.5,84.75,8.25
104,Xavier Henry,77.25,83.25,6.0
105,Darington Hobson,77.25,81.25,4.0
106,Damion James,78.25,84.75,6.5
107,Wesley Johnson,78.25,85.0,6.75
108,Armon Johnson,74.0,80.0,6.0
109,Dominique Jones,75.25,81.25,6.0
110,Jerome Jordan,83.5,89.25,5.75
111,Sylven Landesberg,76.75,81.0,4.25
112,Gani Lawal,79.5,84.0,4.5
113,Greg Monroe,81.75,86.25,4.5
114,Daniel Orton,80.75,88.25,7.5
115,Artsiom Parakhouski,82.25,85.0,2.75
116,Patrick Patterson,80.0,85.25,5.25
