name,height_inches,wingspan_inches,relative
mo bamba,83.25,94.0,10.75
jalen williams,76.5,86.25,9.75
isaiah stewart,79.25,88.75,9.5
robert williams iii,80.0,89.5,9.5
cedric coward,77.25,86.25,9.0
josh okogie,75.0,84.0,9.0
kawhi leonard,78.0,87.0,9.0
rasheer fleming,80.25,89.25,9.0
bilal coulibaly,78.0,86.5,9.0
donovan mitchell,73.25,82.0,8.75
thomas sorber,81.25,90.0,8.75
kelly oubre jr.,77.75,86.25,8.5
andre drummond,81.75,90.25,8.5
thomas bryant,81.5,90.0,8.5
wendell moore jr.,76.25,84.75,8.5
moses moody,76.5,84.75,8.25
anthony davis,81.25,89.5,8.25
jerami grant,78.5,86.75,8.25
oscar tshiebwe,79.25,87.5,8.25
jarrett allen,81.0,89.25,8.25
deandre jordan,81.75,90.0,8.25
og anunoby,78.25,86.25,8.0
p.j. washington,78.5,86.5,8.0
rudy gobert,84.5,92.5,8.0
chris boucher,80.0,88.0,8.0
jordan walsh,77.75,85.75,8.0
brandon ingram,79.0,87.0,8.0
victor wembanyama,88.0,96.0,8.0
jarace walker,78.5,86.5,8.0
jonathan mogbo,78.25,86.0,7.75
ryan rollins,74.0,81.75,7.75
scottie barnes,79.0,86.75,7.75
aaron holiday,71.75,79.5,7.75
wendell carter jr.,80.75,88.5,7.75
kevin durant,81.0,88.75,7.75
miles mcbride,73.0,80.75,7.75
norman powell,75.0,82.75,7.75
terry rozier,72.5,80.25,7.75
marjon beauchamp,77.25,84.75,7.5
draymond green,77.75,85.25,7.5
bones hyland,74.0,81.5,7.5
kevon looney,80.0,87.5,7.5
jaren jackson jr.,81.75,89.25,7.5
adem bona,80.25,87.75,7.5
shaedon sharpe,76.25,83.5,7.25
kyle anderson,79.5,86.75,7.25
ryan dunn,78.25,85.5,7.25
mikal bridges,77.75,85.0,7.25
tari eason,78.75,86.0,7.25
jordan miller,76.5,83.75,7.25
marcus smart,74.0,81.25,7.25
shai gilgeous-alexander,76.5,83.5,7.0
pascal siakam,80.25,87.25,7.0
scoot henderson,74.0,81.0,7.0
deandre hunter,79.0,86.0,7.0
harrison ingram,77.25,84.25,7.0
deandre ayton,83.0,90.0,7.0
charles bassey,81.0,87.5,7.0
eric gordon,74.0,81.0,7.0
anfernee simons,74.25,81.25,7.0
naji marshall,77.75,84.75,7.0
vince williams jr.,76.0,83.0,7.0
zach edey,87.75,94.75,7.0
haywood highsmith,77.0,83.5,7.0
mike conley,71.0,77.75,6.75
trendon watford,79.5,86.25,6.75
dalen terry,78.0,84.75,6.75
thanasis antetokounmpo,77.25,84.0,6.75
james harden,76.0,82.75,6.75
drake powell,77.25,84.0,6.75
dennis schroder,73.0,79.75,6.75
collin sexton,72.5,79.25,6.75
jalen duren,82.25,89.0,6.75
ayo dosunmu,75.5,82.25,6.75
dangelo russell,75.25,81.75,6.5
devin carter,74.25,80.75,6.5
dillon jones,76.5,83.0,6.5
clint capela,82.0,88.5,6.5
jaylen brown,77.25,83.75,6.5
christian koloko,82.75,89.25,6.5
cody williams,78.5,85.0,6.5
xavier tillman,79.5,86.0,6.5
naz reid,80.75,87.25,6.5
mark williams,84.0,90.5,6.5
matisse thybulle,77.0,83.5,6.5
jamir watkins,77.0,83.25,6.25
myles turner,81.75,88.0,6.25
amen thompson,77.75,84.0,6.25
ausar thompson,77.75,84.0,6.25
blake wesley,75.0,81.25,6.25
deanthony melton,74.25,80.5,6.25
dominick barlow,80.75,87.0,6.25
caleb martin,76.0,82.25,6.25
herbert jones,78.0,84.25,6.25
e.j. liddell,77.5,83.75,6.25
collin murray-boyles,78.5,84.75,6.25
rui hachimura,79.75,86.0,6.25
hunter sallis,75.75,82.0,6.25
