name,height_inches,wingspan_inches,relative
kenny adeleke,78.5,82.25,3.75
maurice ager,75.25,79.75,4.5
lamarcus aldridge,82.0,88.75,6.75
morris almond,76.75,82.0,5.25
lou amundson,79.2,83.5,4.299999999999997
rashad anderson,75.25,79.0,3.75
hilton armstrong,81.5,88.0,6.5
james augustine,80.25,84.25,4.0
renaldo balkman,77.25,85.0,7.75
j.p. batista,79.5,82.0,2.5
will blalock,71.25,78.0,6.75
brandon bowman,78.75,83.5,4.75
ronnie brewer,77.75,83.25,5.5
denham brown,76.0,81.5,5.5
brad buckman,79.25,84.0,4.75
nik caner-medley,78.5,81.0,2.5
rodney carney,76.5,82.0,5.5
keydren clark,69.0,74.5,5.5
mardy collins,76.25,82.0,5.75
taquan dean,74.0,78.75,4.75
terence dials,79.75,84.0,4.25
sean dockery,72.75,76.5,3.75
jordan farmar,72.75,75.0,2.25
randy foye,74.25,78.25,4.0
torin francis,81.0,85.0,4.0
rudy gay,79.0,87.0,8.0
nick george,76.0,82.0,6.0
taj gray,79.25,84.75,5.5
dan grunfeld,76.75,78.25,1.5
matt haryasz,81.75,84.25,2.5
eric hicks,76.75,85.5,8.75
tedric hill,79.75,85.0,5.25
daniel horton,72.5,79.0,6.5
solomon jones,80.5,88.75,8.25
bobby jones,77.75,81.5,3.75
viktor keyru,77.25,81.25,4.0
marco killingsworth,77.5,87.0,9.5
tarence kinsey,76.75,78.75,2.0
carl krauser,71.75,78.25,6.5
chris mccray,75.0,77.75,2.75
gerry mcnamara,71.75,72.75,1.0
pops mensah-bonsu,79.5,84.0,4.5
paul miller,80.5,84.0,3.5
paul millsap,78.25,85.5,7.25
dwayne mitchell,74.0,78.5,4.5
adam morrison,78.5,82.0,3.5
yemi nicholson,79.75,88.25,8.5
david noel,76.5,81.5,5.0
steve novak,80.0,81.5,1.5
patrick obryant,83.0,89.75,6.75
danilo pinnock,74.75,79.5,4.75
chris quinn,72.5,77.0,4.5
allan ray,73.0,80.5,7.5
jj redick,76.0,75.25,-0.75
antywane robinson,78.25,86.5,8.25
brandon roy,77.25,80.0,2.75
blake schilb,77.25,80.75,3.5
mouhamed sene,83.0,92.5,9.5
cedric simmons,80.25,88.25,8.0
marcus slaughter,79.0,83.5,4.5
craig smith,77.5,81.5,4.0
steven smith,79.5,84.5,5.0
michael southhall,81.5,88.25,6.75
frans steyn,85.25,86.25,1.0
curtis stinson,73.75,77.0,3.25
tyrus thomas,79.25,87.0,7.75
joah tucker,75.75,78.5,2.75
ian vouyoukas,80.5,84.75,4.25
darius washington,71.5,76.0,4.5
cj watson,72.5,78.0,5.5
eric williams,79.25,88.25,9.0
shelden williams,79.5,88.25,8.75
shawne williams,79.25,87.0,7.75
marcus williams,74.0,79.0,5.0
justin williams,79.25,85.5,6.25
curtis withers,78.0,82.0,4.0
jeff adrien,77.25,86.0,8.75
jeff ayres,80.75,85.0,4.25
rodrigue beaubois,73.25,81.75,8.5
dejuan blair,77.25,86.0,8.75
derrick brown,79.5,86.5,7.0
chase budinger,78.25,79.0,0.75
demarre carroll,78.25,82.0,3.75
omri casspi,79.75,81.25,1.5
dionte christmas,76.25,81.0,4.75
earl clark,80.5,86.5,6.0
darren collison,72.25,75.0,2.75
dante cunningham,79.0,83.0,4.0
stephen curry,74.0,75.5,1.5
austin daye,81.75,86.75,5.0
demar derozan,77.5,81.0,3.5
toney douglas,73.0,78.0,5.0
wayne ellington,76.25,78.5,2.25
tyreke evans,76.0,83.25,7.25
jonny flynn,71.25,76.0,4.75
taj gibson,80.5,88.0,7.5
danny green,77.25,82.0,4.75
blake griffin,80.5,83.25,2.75
tyler hansbrough,80.25,83.5,3.25
james harden,76.0,82.75,6.75
gerald henderson,76.0,82.25,6.25
josh heytvelt,82.0,85.25,3.25
jordan hill,81.25,85.5,4.25
jrue holiday,75.25,79.0,3.75
joe ingles,79.75,82.25,2.5
james johnson,79.0,84.75,5.75
ty lawson,71.25,72.75,1.5
eric maynor,74.25,74.5,0.25
jack mcclinton,71.75,74.5,2.75
jerel mcneal,73.5,79.25,5.75
jodie meeks,75.0,76.5,1.5
