Player,LEBRON,O-LEBRON,D-LEBRON
Nikola Jokić,6.653,5.79,0.863
Giannis Antetokounmpo,6.638,4.104,2.534
Rudy Gobert,5.455,1.201,4.254
Jimmy Butler Iii,5.232,3.627,1.605
Kawhi Leonard,4.925,3.665,1.26
Joel Embiid,4.908,3.84,1.068
Stephen Curry,4.685,5.514,-0.829
Lebron James,4.368,4.117,0.25
Luka Dončić,4.065,4.543,-0.477
James Harden,3.819,4.6,-0.781
Damian Lillard,3.724,5.613,-1.889
Chris Paul,3.606,2.224,1.382
Paul George,3.535,2.444,1.091
Karl-Anthony Towns,3.474,3.055,0.419
Kyrie Irving,3.458,4.569,-1.111
Anthony Davis,3.372,2.033,1.339
Clint Capela,3.259,0.586,2.673
Kevin Durant,3.241,3.681,-0.44
Jayson Tatum,3.221,2.377,0.844
Jonas Valančiūnas,3.025,1.906,1.12
Jrue Holiday,2.887,1.939,0.949
Mike Conley,2.868,2.751,0.117
Fred Vanvleet,2.714,1.788,0.926
Ben Simmons,2.673,0.592,2.082
Kyle Anderson,2.651,0.675,1.976
Russell Westbrook,2.646,1.272,1.373
Cj Mccollum,2.502,3.147,-0.644
Zion Williamson,2.494,3.118,-0.624
Jusuf Nurkić,2.448,-0.171,2.62
Robert Williams Iii,2.407,0.232,2.175
Al Horford,2.39,0.457,1.933
Pascal Siakam,2.352,1.525,0.827
Bam Adebayo,2.336,0.431,1.905
Donte Divincenzo,2.263,0.812,1.451
Bradley Beal,2.233,3.486,-1.253
Jamal Murray,2.049,2.02,0.028
Draymond Green,2.044,-0.468,2.512
Kelly Olynyk,2.009,1.365,0.643
Devin Booker,1.979,2.986,-1.007
Kemba Walker,1.924,2.0,-0.076
Mikal Bridges,1.896,0.836,1.061
Khris Middleton,1.849,1.513,0.336
Myles Turner,1.83,-0.782,2.612
Kevin Love,1.784,1.338,0.446
Serge Ibaka,1.753,0.53,1.223
Andre Drummond,1.731,-0.243,1.974
Donovan Mitchell,1.695,3.731,-2.035
Daniel Gafford,1.676,-0.125,1.8
Kristaps Porziņģis,1.632,1.181,0.452
Joe Ingles,1.619,1.572,0.047
Brook Lopez,1.511,0.274,1.237
Trae Young,1.506,4.001,-2.496
Jarred Vanderbilt,1.485,-0.696,2.181
Alex Caruso,1.482,-0.546,2.029
Thaddeus Young,1.454,1.387,0.067
Chris Boucher,1.412,0.964,0.447
Enes Freedom,1.409,1.88,-0.471
Robert Covington,1.35,-0.894,2.244
Marcus Smart,1.341,0.331,1.01
John Collins,1.34,1.362,-0.022
Demar Derozan,1.331,2.327,-0.996
Paul Millsap,1.31,-0.139,1.448
Bruce Brown,1.307,0.611,0.696
Lonzo Ball,1.257,0.969,0.288
Tobias Harris,1.235,0.328,0.907
Montrezl Harrell,1.234,0.528,0.706
Brandon Clarke,1.222,-0.056,1.278
Isaiah Hartenstein,1.212,-0.472,1.684
Demarcus Cousins,1.208,-0.625,1.832
Ja Morant,1.208,2.27,-1.062
Dejounte Murray,1.165,-0.284,1.45
Deandre Ayton,1.153,0.237,0.916
De'Aaron Fox,1.132,2.166,-1.034
Devonte' Graham,1.131,1.719,-0.588
Frank Kaminsky,1.123,0.539,0.585
Blake Griffin,1.117,0.752,0.365
Michael Porter Jr.,1.098,1.5,-0.403
Delon Wright,1.079,0.232,0.847
Domantas Sabonis,1.069,0.19,0.879
Malcolm Brogdon,1.056,2.458,-1.402
Nic Claxton,1.045,-0.78,1.825
Nikola Vučević,1.035,0.384,0.651
Duncan Robinson,1.032,-0.333,1.365
Cameron Johnson,1.025,0.407,0.618
Derrick White,1.02,0.677,0.343
T.J. Mcconnell,1.002,0.85,0.151
Reggie Jackson,1.0,0.641,0.359
Nicolas Batum,0.985,-0.067,1.051
Jakob Poeltl,0.95,-1.066,2.016
Kyle Lowry,0.934,0.91,0.024
Jaren Jackson Jr.,0.905,0.544,0.361
Royce O'Neale,0.881,-0.661,1.542
Jordan Clarkson,0.849,2.116,-1.267
Cameron Payne,0.848,1.009,-0.16
Chris Chiozza,0.843,0.741,0.102
De'Anthony Melton,0.827,0.229,0.598
Shai Gilgeous-Alexander,0.82,1.647,-0.827
Victor Oladipo,0.812,0.398,0.415
Goga Bitadze,0.741,0.108,0.633
Ricky Rubio,0.739,0.773,-0.034
Dorian Finney-Smith,0.737,-0.256,0.993
Patrick Beverley,0.732,-0.499,1.231
Richaun Holmes,0.685,0.258,0.426
Christian Wood,0.665,0.532,0.133
Jalen Brunson,0.628,0.97,-0.342
Jordan Mclaughlin,0.593,-0.057,0.65
Derrick Favors,0.588,-0.878,1.467
Ivica Zubac,0.527,-0.772,1.3
Cody Zeller,0.526,-0.018,0.544
Dewayne Dedmon,0.525,-0.172,0.697
Willy Hernangomez,0.505,0.544,-0.039
Trevor Ariza,0.494,-0.711,1.205
Kevin Huerter,0.492,0.093,0.398
Dwight Powell,0.48,-0.723,1.203
Brandon Ingram,0.468,1.364,-0.896
Marcus Morris Sr.,0.459,0.669,-0.211
Taj Gibson,0.455,-1.332,1.787
Thomas Bryant,0.446,-0.439,0.885
Zach Lavine,0.443,1.955,-1.512
Xavier Tillman,0.429,-0.951,1.38
Ish Smith,0.384,-0.573,0.957
Jeremy Lamb,0.382,0.682,-0.299
Willie Cauley-Stein,0.379,-1.44,1.819
Dario Šarić,0.373,0.022,0.351
Rudy Gay,0.342,0.406,-0.064
Raul Neto,0.336,-0.417,0.753
Mason Plumlee,0.334,-1.387,1.72
Mitchell Robinson,0.331,-0.707,1.038
Joe Harris,0.328,0.996,-0.668
Jevon Carter,0.319,0.13,0.188
Naz Reid,0.297,-0.335,0.632
Matisse Thybulle,0.274,-1.725,1.999
Lamarcus Aldridge,0.274,-0.258,0.532
Julius Randle,0.266,0.15,0.116
Pj Dozier,0.239,-0.684,0.923
Larry Nance Jr.,0.228,-1.637,1.866
Javale Mcgee,0.221,-1.06,1.281
Mo Bamba,0.186,-0.203,0.389
Terance Mann,0.184,0.089,0.095
Marc Gasol,0.166,-1.857,2.023
Luke Kornet,0.164,-1.182,1.346
Buddy Hield,0.145,0.842,-0.697
Daniel Theis,0.143,-0.802,0.945
Will Barton,0.129,-0.002,0.131
Tristan Thompson,0.129,-1.201,1.33
Kendrick Nunn,0.126,0.446,-0.32
Furkan Korkmaz,0.089,0.662,-0.573
Isaiah Stewart,0.086,-1.448,1.534
Deandre Jordan,0.077,-0.949,1.026
Oshae Brissett,0.076,0.164,-0.088
Jaxson Hayes,0.07,-0.552,0.622
Jaylen Brown,0.068,0.486,-0.417
Drew Eubanks,0.068,-1.026,1.094
Derrick Rose,0.067,0.759,-0.692
Pat Connaughton,0.062,-0.347,0.409
Bobby Portis,0.06,0.05,0.01
Jerami Grant,0.051,0.267,-0.216
Ed Davis,0.032,-1.776,1.808
Norman Powell,0.024,0.572,-0.548
Evan Fournier,0.02,0.237,-0.217
Davis Bertans,0.017,0.698,-0.68
Harrison Barnes,0.016,0.645,-0.628
Jae Crowder,0.008,-0.565,0.573
De'Andre Hunter,-0.006,-0.128,0.122
Lamelo Ball,-0.006,0.355,-0.361
Danny Green,-0.029,-0.354,0.325
Gordon Hayward,-0.057,0.186,-0.243
Wendell Carter Jr.,-0.061,-0.967,0.907
Bogdan Bogdanović,-0.064,0.642,-0.705
Aaron Gordon,-0.09,-0.228,0.138
Facundo Campazzo,-0.13,-0.385,0.255
Andrew Wiggins,-0.131,-0.76,0.629
Tony Bradley,-0.14,-0.832,0.693
Alec Burks,-0.161,0.36,-0.521
Jae'Sean Tate,-0.175,-0.357,0.182
Grayson Allen,-0.222,0.06,-0.282
Nicolo Melli,-0.222,-0.246,0.023
Jarrett Allen,-0.23,-0.494,0.264
Dwight Howard,-0.252,-1.056,0.804
Onyeka Okongwu,-0.285,-1.472,1.187
Danilo Gallinari,-0.295,0.617,-0.912
Otto Porter Jr.,-0.297,-0.283,-0.014
Mike Muscala,-0.298,-0.291,-0.007
Georges Niang,-0.305,-0.463,0.158
Marvin Bagley Iii,-0.323,-0.029,-0.294
Jeff Green,-0.335,0.388,-0.724
Bojan Bogdanović,-0.337,1.141,-1.478
Kevon Looney,-0.338,-1.016,0.678
Gorgui Dieng,-0.343,-0.385,0.043
Eric Bledsoe,-0.346,-0.196,-0.15
Kent Bazemore,-0.346,-1.855,1.509
Alex Len,-0.356,-2.366,2.01
Tomas Satoransky,-0.366,-0.675,0.309
Hassan Whiteside,-0.381,-1.271,0.89
Yuta Watanabe,-0.404,-1.371,0.967
Gabriel Deck,-0.422,-0.158,-0.265
Terry Rozier,-0.427,1.139,-1.566
Justin Patton,-0.445,-1.368,0.923
Moses Brown,-0.45,-1.22,0.769
Cody Martin,-0.454,-1.127,0.673
Monté Morris,-0.46,0.475,-0.935
Dillon Brooks,-0.464,-0.577,0.113
Tim Hardaway Jr.,-0.465,1.064,-1.529
Matthew Dellavedova,-0.507,-0.365,-0.142
Josh Richardson,-0.513,-0.124,-0.389
Immanuel Quickley,-0.531,0.95,-1.481
Josh Okogie,-0.554,-1.619,1.065
Steven Adams,-0.555,-1.468,0.913
P.J. Washington,-0.56,-1.403,0.843
Eric Gordon,-0.562,0.708,-1.27
Denzel Valentine,-0.566,-0.864,0.298
Naji Marshall,-0.572,-1.203,0.631
Nemanja Bjelica,-0.577,-0.09,-0.487
David Nwaba,-0.583,-0.813,0.23
Keldon Johnson,-0.587,-0.841,0.254
Moritz Wagner,-0.595,-1.063,0.468
Torrey Craig,-0.599,-0.394,-0.205
John Wall,-0.603,0.69,-1.293
Deni Avdija,-0.612,-2.184,1.572
Sindarius Thornwell,-0.656,-0.964,0.308
Juan Toscano-Anderson,-0.656,-2.223,1.567
Andre Iguodala,-0.665,-1.782,1.116
Jaylen Nowell,-0.672,0.286,-0.958
Kira Lewis Jr.,-0.702,-0.519,-0.183
Troy Brown Jr.,-0.73,-1.143,0.413
Talen Horton-Tucker,-0.733,-0.979,0.246
Markelle Fultz,-0.735,-0.997,0.262
Og Anunoby,-0.747,-1.303,0.555
Seth Curry,-0.747,-0.386,-0.361
Wesley Matthews,-0.755,-1.275,0.52
Dennis Schröder,-0.764,-0.561,-0.203
D.J. Wilson,-0.77,-1.14,0.37
Timothe Luwawu-Cabarrot,-0.8,-0.133,-0.667
Nickeil Alexander-Walker,-0.824,-0.898,0.074
D'Angelo Russell,-0.839,1.358,-2.197
Dennis Smith Jr.,-0.848,-0.785,-0.062
D.J. Augustin,-0.86,0.511,-1.37
Malik Beasley,-0.866,0.403,-1.27
Kevin Porter Jr.,-0.867,0.508,-1.375
Kelly Oubre Jr.,-0.869,-0.694,-0.175
Brandon Goodwin,-0.872,-0.172,-0.7
Rui Hachimura,-0.876,-1.461,0.586
Javonte Green,-0.881,-1.389,0.509
Jamychal Green,-0.915,-0.694,-0.221
Lamar Stevens,-0.954,-1.609,0.655
Khem Birch,-0.956,-1.788,0.832
Cam Reddish,-0.959,-1.104,0.145
Wenyen Gabriel,-0.96,-1.436,0.475
Juancho Hernangomez,-0.966,0.297,-1.263
Patrick Patterson,-0.97,-0.282,-0.688
Maxi Kleber,-0.977,-1.58,0.602
Trey Burke,-0.98,0.254,-1.234
Josh Hart,-0.983,-0.726,-0.258
Kj Martin,-0.994,-0.449,-0.545
Dylan Windler,-0.997,-1.564,0.566
Daquan Jeffries,-0.998,-1.14,0.142
Kyle Kuzma,-1.001,-1.125,0.124
Devin Vassell,-1.008,-1.54,0.532
John Konchar,-1.018,-0.715,-0.303
Ryan Arcidiacono,-1.02,-1.442,0.422
Mike James,-1.05,0.123,-1.174
Malik Monk,-1.067,0.259,-1.327
Lauri Markkanen,-1.067,-0.481,-0.586
Cory Joseph,-1.083,-0.87,-0.213
George Hill,-1.084,-0.26,-0.824
Terence Davis,-1.086,-0.569,-0.517
Grant Williams,-1.087,-2.119,1.032
Precious Achiuwa,-1.091,-1.757,0.665
Ben Mclemore,-1.1,0.216,-1.316
Miles Bridges,-1.108,-0.727,-0.381
Desmond Bane,-1.113,-0.852,-0.261
Brodric Thomas,-1.141,-1.062,-0.079
Mason Jones,-1.142,-0.415,-0.727
Damion Lee,-1.156,-1.1,-0.056
Robin Lopez,-1.164,-1.201,0.038
Dean Wade,-1.168,-1.615,0.447
James Johnson,-1.174,-1.461,0.287
Collin Sexton,-1.178,0.776,-1.955
James Ennis Iii,-1.179,-1.649,0.469
Shake Milton,-1.183,0.028,-1.211
Payton Pritchard,-1.186,-0.116,-1.069
Michael Carter-Williams,-1.192,-2.323,1.131
Lou Williams,-1.195,0.186,-1.381
Damian Jones,-1.195,-1.889,0.694
Jordan Poole,-1.224,0.636,-1.86
Darius Garland,-1.231,-0.258,-0.973
Jaylen Hoard,-1.236,-1.171,-0.065
Wayne Ellington,-1.244,0.117,-1.361
Tyus Jones,-1.267,-0.425,-0.842
Deandre' Bembry,-1.267,-1.907,0.64
Carmelo Anthony,-1.291,0.641,-1.932
Brad Wanamaker,-1.295,-1.387,0.092
Jj Redick,-1.31,0.135,-1.445
Luguentz Dort,-1.33,-0.952,-0.379
Anthony Edwards,-1.351,0.154,-1.506
Nerlens Noel,-1.356,-3.748,2.392
Mychal Mulder,-1.365,-0.352,-1.013
Jalen Mcdaniels,-1.369,-0.941,-0.428
Stanley Johnson,-1.374,-2.273,0.898
Abdel Nader,-1.391,-1.661,0.27
Svi Mykhailiuk,-1.402,-0.731,-0.672
Aaron Holiday,-1.419,-0.769,-0.65
Obi Toppin,-1.424,-0.819,-0.605
Doug Mcdermott,-1.437,0.943,-2.38
Bryn Forbes,-1.451,-0.075,-1.376
Chimezie Metu,-1.459,-1.722,0.263
Caris Levert,-1.461,0.019,-1.48
Jarrett Culver,-1.476,-1.567,0.091
Justin Holiday,-1.48,-0.832,-0.648
Kentavious Caldwell-Pope,-1.49,-1.57,0.08
Justin Jackson,-1.513,-1.053,-0.46
Trey Lyles,-1.516,-1.311,-0.204
Patty Mills,-1.532,0.472,-2.004
Taurean Prince,-1.588,-0.885,-0.703
Ignas Brazdeikis,-1.596,-1.161,-0.435
Eric Paschall,-1.603,-0.89,-0.713
Goran Dragic,-1.603,-0.342,-1.261
Tyrese Maxey,-1.603,-0.31,-1.293
Malachi Flynn,-1.606,-1.332,-0.273
Chandler Hutchison,-1.607,-1.911,0.304
Max Strus,-1.611,-0.398,-1.212
Tyrese Haliburton,-1.626,0.256,-1.882
Derrick Jones Jr.,-1.639,-1.296,-0.343
Josh Green,-1.642,-1.441,-0.201
Coby White,-1.644,-0.792,-0.852
Tyler Herro,-1.65,-0.395,-1.255
Luke Kennard,-1.662,-0.164,-1.498
Caleb Martin,-1.687,-1.096,-0.591
Armoni Brooks,-1.73,0.004,-1.733
Kenrich Williams,-1.73,-2.0,0.27
Gary Harris,-1.733,-1.213,-0.52
Al-Farouq Aminu,-1.749,-2.676,0.927
Rajon Rondo,-1.758,-0.872,-0.887
Austin Rivers,-1.758,-0.565,-1.193
Ty Jerome,-1.76,-1.004,-0.756
Trent Forrest,-1.768,-0.955,-0.814
Reggie Bullock Jr.,-1.769,-1.402,-0.367
Saben Lee,-1.774,-1.557,-0.217
Jakarr Sampson,-1.778,-1.25,-0.528
Nico Mannion,-1.809,-1.113,-0.696
Josh Jackson,-1.825,-1.737,-0.088
Mike Scott,-1.836,-2.164,0.328
Garrison Mathews,-1.843,-1.615,-0.229
Rj Barrett,-1.853,-1.116,-0.737
Paul Watson,-1.861,-0.823,-1.038
E'Twaun Moore,-1.862,-1.352,-0.51
Gabe Vincent,-1.868,-1.033,-0.835
Chuma Okeke,-1.894,-1.774,-0.12
Saddiq Bey,-1.919,-0.819,-1.1
Cedi Osman,-1.93,-0.657,-1.273
Anthony Lamb,-1.932,-1.291,-0.641
Jake Layman,-1.946,-1.913,-0.033
Freddie Gillespie,-1.959,-2.547,0.588
Jaden Mcdaniels,-1.961,-2.333,0.371
Aaron Nesmith,-1.98,-1.776,-0.204
Aron Baynes,-2.041,-2.58,0.54
Jeff Teague,-2.064,-1.302,-0.763
Cole Anthony,-2.079,-1.515,-0.565
Langston Galloway,-2.088,-0.886,-1.202
Maurice Harkless,-2.113,-2.333,0.22
Tyler Johnson,-2.143,-0.406,-1.738
Kz Okpala,-2.149,-2.379,0.231
Landry Shamet,-2.212,-0.804,-1.407
Sterling Brown,-2.236,-1.83,-0.406
Terrence Ross,-2.321,-1.218,-1.103
Jerome Robinson,-2.375,-2.455,0.08
Garrett Temple,-2.39,-2.382,-0.009
Wes Iwundu,-2.392,-2.388,-0.004
