nba_id,Player,Seasons,Team,Pos,MPG,LEBRON,O-LEBRON,D-LEBRON,WAR,OffRole,DefRole
1713,Vince Carter,2019,ATL,PF,17.504,-1.57,-1.466,-0.104,0.685,Movement Shooter,Helper
1717,Dirk Nowitzki,2019,DAL,PF,15.593,-0.895,-0.471,-0.425,0.759,Versatile Big,Helper
2037,Jamal Crawford,2019,PHO,SG,18.734,-3.407,-0.708,-2.698,-0.791,Shot Creator,Low Activity
2199,Tyson Chandler,2019,PHO/LAL,C,15.908,-1.077,-2.356,1.278,0.731,Roll + Cut Big,Anchor Big
2200,Pau Gasol,2019,SAS/MIL,C,12.019,1.346,-0.214,1.56,0.874,Post Scorer,Anchor Big
2225,Tony Parker,2019,CHO,PG,17.908,-1.886,-0.548,-1.338,0.311,Slasher,Low Activity
2403,Nene,2019,HOU,C,12.995,-1.411,-1.831,0.42,0.338,Roll + Cut Big,Mobile Big
2544,Lebron James,2019,LAL,SF,35.226,4.631,4.07,0.561,8.713,Shot Creator,Helper
2546,Carmelo Anthony,2019,HOU,PF,29.415,-1.883,-0.905,-0.979,0.092,Shot Creator,Wing Stopper
2548,Dwyane Wade,2019,MIA,SG,26.184,-1.962,-0.197,-1.766,0.491,Shot Creator,Low Activity
2585,Zaza Pachulia,2019,DET,C,12.913,-1.072,-1.853,0.781,0.737,Roll + Cut Big,Anchor Big
2594,Kyle Korver,2019,CLE/UTA,PF,19.056,-0.347,0.025,-0.372,1.753,Off Screen Shooter,Low Activity
2730,Dwight Howard,2019,WAS,C,25.507,-0.503,-1.364,0.861,0.278,Post Scorer,Anchor Big
2733,Shaun Livingston,2019,GSW,PG,15.108,-2.029,-1.389,-0.64,0.21,Shot Creator,Point of Attack
2734,Devin Harris,2019,DAL,PG,15.744,-0.47,0.077,-0.547,1.32,Movement Shooter,Low Activity
2736,Luol Deng,2019,MIN,SF,17.284,-0.496,-0.315,-0.181,0.462,Versatile Big,Helper
2738,Andre Iguodala,2019,GSW,SF,23.205,1.406,0.016,1.389,3.884,Stationary Shooter,Wing Stopper
2747,Jr Smith,2019,CLE,SG,20.209,-0.65,-1.426,0.776,0.248,Off Screen Shooter,Helper
2772,Trevor Ariza,2019,PHO/WAS,SF,34.042,-1.755,-1.037,-0.718,0.927,Movement Shooter,Wing Stopper
101107,Marvin Williams,2019,CHO,PF,28.441,0.497,-0.101,0.598,3.984,Movement Shooter,Helper
101108,Chris Paul,2019,HOU,PG,32.013,3.006,1.925,1.081,6.482,Shot Creator,Chaser
101109,Raymond Felton,2019,OKC,PG,11.495,-1.945,-0.829,-1.115,0.103,Secondary Ball Handler,Point of Attack
101123,Gerald Green,2019,HOU,SG,20.177,-2.034,0.265,-2.3,0.315,Movement Shooter,Low Activity
101133,Ian Mahinmi,2019,WAS,C,14.64,0.078,-1.243,1.321,0.793,Roll + Cut Big,Anchor Big
101139,Cj Miles,2019,TOR/MEM,SF,16.16,-2.133,-1.119,-1.014,0.129,Off Screen Shooter,Low Activity
101141,Ersan Ilyasova,2019,MIL,PF,18.378,0.555,-0.197,0.753,2.347,Stretch Big,Helper
101150,Lou Williams,2019,LAC,SG,26.571,0.249,3.017,-2.768,3.398,Slasher,Low Activity
101161,Amir Johnson,2019,PHI,C,10.376,-1.041,-1.378,0.338,0.455,Roll + Cut Big,Anchor Big
101162,Marcin Gortat,2019,LAC,C,15.968,-1.04,-1.918,0.878,0.645,Roll + Cut Big,Anchor Big
101181,Jose Calderon,2019,DET,PG,12.898,-2.636,-2.3,-0.337,-0.109,Primary Ball Handler,Low Activity
200746,Lamarcus Aldridge,2019,SAS,C,33.171,1.551,1.006,0.545,6.867,Post Scorer,Anchor Big
200752,Rudy Gay,2019,SAS,PF,26.7,0.599,-0.122,0.721,3.564,Shot Creator,Wing Stopper
200755,Jj Redick,2019,PHI,SG,31.307,-0.309,1.15,-1.46,3.185,Off Screen Shooter,Low Activity
200757,Thabo Sefolosha,2019,UTA,SF,12.172,-0.21,-1.632,1.422,0.855,Stationary Shooter,Low Activity
200765,Rajon Rondo,2019,LAL,PG,29.753,-1.943,-1.184,-0.76,0.373,Primary Ball Handler,Chaser
200768,Kyle Lowry,2019,TOR,PG,34.052,3.067,2.198,0.868,7.812,Primary Ball Handler,Chaser
200782,P.J. Tucker,2019,HOU,PF,34.172,0.055,-1.449,1.505,4.422,Stationary Shooter,Wing Stopper
200794,Paul Millsap,2019,DEN,PF,27.065,2.138,0.711,1.427,5.563,Shot Creator,Helper
200826,J.J. Barea,2019,DAL,PG,19.787,0.995,1.911,-0.916,1.649,Primary Ball Handler,Point of Attack
201142,Kevin Durant,2019,GSW,SF,34.635,4.851,4.013,0.838,12.507,Shot Creator,Wing Stopper
201143,Al Horford,2019,BOS,C,29.012,1.3,0.292,1.008,4.721,Post Scorer,Anchor Big
201144,Mike Conley,2019,MEM,PG,33.452,3.421,3.708,-0.287,8.787,Primary Ball Handler,Point of Attack
201145,Jeff Green,2019,WAS,PF,27.229,-1.486,-0.218,-1.268,1.194,Movement Shooter,Helper
201147,Corey Brewer,2019,PHI/SAC,SF,15.855,0.038,-0.578,0.615,0.77,Movement Shooter,Chaser
201149,Joakim Noah,2019,MEM,C,16.489,1.722,-0.084,1.806,1.847,Roll + Cut Big,Anchor Big
201152,Thaddeus Young,2019,IND,PF,30.727,1.748,0.3,1.448,6.68,Post Scorer,Helper
201158,Marco Belinelli,2019,SAS,SG,22.98,-1.415,-0.234,-1.182,1.117,Movement Shooter,Low Activity
201162,Jared Dudley,2019,BRK,PF,20.67,-0.746,-1.25,0.505,1.284,Stationary Shooter,Helper
201163,Wilson Chandler,2019,PHI/LAC,SF,23.064,-1.14,-1.554,0.414,0.935,Shot Creator,Wing Stopper
201188,Marc Gasol,2019,MEM/TOR,C,30.836,1.561,-0.591,2.153,6.243,Versatile Big,Anchor Big
201229,Anthony Tolliver,2019,MIN,PF,16.419,-1.519,-1.083,-0.435,0.585,Movement Shooter,Low Activity
201563,Michael Beasley,2019,LAL,PF,10.672,-0.501,-0.056,-0.445,0.337,Shot Creator,Helper
201565,Derrick Rose,2019,MIN,PG,27.062,-0.768,1.322,-2.09,1.433,Shot Creator,Chaser
201566,Russell Westbrook,2019,OKC,PG,36.022,4.461,3.444,1.017,11.556,Shot Creator,Point of Attack
201567,Kevin Love,2019,CLE,PF,27.18,2.894,2.237,0.657,2.045,Versatile Big,Helper
201568,Danilo Gallinari,2019,LAC,SF,30.284,2.32,2.303,0.016,6.287,Shot Creator,Helper
201569,Eric Gordon,2019,HOU,SG,31.735,0.448,1.522,-1.075,3.96,Movement Shooter,Chaser
201571,D.J. Augustin,2019,ORL,PG,28.013,0.396,0.695,-0.299,4.087,Primary Ball Handler,Point of Attack
201572,Brook Lopez,2019,MIL,C,28.663,2.883,-0.176,3.058,7.923,Stationary Shooter,Anchor Big
201573,Jerryd Bayless,2019,MIN,PG,19.323,-2.054,-0.448,-1.606,0.132,Primary Ball Handler,Point of Attack
201577,Robin Lopez,2019,CHI,C,21.701,-2.581,-1.613,-0.968,-0.22,Post Scorer,Anchor Big
201580,Javale Mcgee,2019,LAL,C,22.277,0.924,-0.37,1.293,3.587,Roll + Cut Big,Anchor Big
201583,Ryan Anderson,2019,PHO/MIA,PF,12.853,-2.497,-1.413,-1.084,-0.027,Movement Shooter,Low Activity
201584,Courtney Lee,2019,NYK/DAL,SG,12.595,-0.619,-0.865,0.246,0.486,Secondary Ball Handler,Chaser
201585,Kosta Koufos,2019,SAC,C,11.943,-0.159,-1.644,1.485,0.721,Roll + Cut Big,Anchor Big
201586,Serge Ibaka,2019,TOR,C,27.169,0.954,0.65,0.304,4.356,Roll + Cut Big,Anchor Big
201587,Nicolas Batum,2019,CHO,SF,31.386,-0.756,-0.874,0.118,2.463,Movement Shooter,Wing Stopper
201588,George Hill,2019,CLE/MIL,PG,21.707,0.059,-0.092,0.151,2.059,Secondary Ball Handler,Point of Attack
201599,Deandre Jordan,2019,DAL/NYK,C,29.671,-0.813,-2.111,1.299,2.066,Post Scorer,Anchor Big
201609,Goran Dragic,2019,MIA,PG,27.517,0.183,0.556,-0.373,1.646,Primary Ball Handler,Point of Attack
201933,Blake Griffin,2019,DET,PF,34.966,1.814,1.47,0.344,7.152,Shot Creator,Helper
201935,James Harden,2019,HOU,PG,36.753,5.472,6.423,-0.951,14.325,Shot Creator,Helper
201936,Tyreke Evans,2019,IND,SG,20.318,-0.686,-0.178,-0.508,1.531,Shot Creator,Chaser
201937,Ricky Rubio,2019,UTA,PG,27.926,1.092,0.306,0.786,4.286,Primary Ball Handler,Point of Attack
201939,Stephen Curry,2019,GSW,PG,33.787,4.221,4.703,-0.482,9.903,Primary Ball Handler,Chaser
