player_name,raptor_total,raptor_defense,raptor_offense
James Harden,10.1,1.3,8.8
Chris Paul,8.6,1.6,7.0
Jimmy Butler,8.1,2.4,5.7
Stephen Curry,7.6,-0.5,8.1
Victor Oladipo,7.5,4.1,3.4
Kemba Walker,6.0,0.6,5.4
Damian Lillard,6.0,-0.1,6.2
LeBron James,5.8,-1.7,7.5
Giannis Antetokounmpo,5.6,2.2,3.3
Nikola Jokic,5.5,0.3,5.2
Kyle Lowry,5.4,0.4,4.9
Anthony Davis,5.3,4.0,1.3
Kevin Durant,5.2,-0.7,5.9
Kyrie Irving,4.8,-1.2,6.0
Eric Bledsoe,4.4,1.8,2.6
Robert Covington,4.4,3.3,1.1
Otto Porter Jr.,4.4,1.5,2.9
Jrue Holiday,4.4,2.0,2.4
Russell Westbrook,4.4,0.1,4.3
Joel Embiid,4.3,3.9,0.4
Draymond Green,4.3,3.3,1.0
Al Horford,4.1,3.2,0.9
Fred VanVleet,4.1,1.7,2.3
LaMarcus Aldridge,4.0,1.4,2.6
Tyreke Evans,3.9,-0.6,4.4
Karl-Anthony Towns,3.8,-0.2,4.1
Darren Collison,3.8,1.4,2.4
Clint Capela,3.7,3.3,0.4
Rudy Gobert,3.6,4.2,-0.6
Delon Wright,3.6,2.2,1.4
Dwight Powell,3.4,2.9,0.5
Kevon Looney,3.4,4.4,-1.0
Paul George,3.3,1.5,1.7
Thabo Sefolosha,3.2,3.4,-0.2
Nikola Mirotic,3.1,0.6,2.5
Nene,2.9,4.4,-1.5
Kristaps Porzingis,2.8,2.0,0.8
Bradley Beal,2.8,0.5,2.3
Joe Ingles,2.8,0.8,2.0
Jonas Valanciunas,2.7,1.7,1.1
Kyle Anderson,2.7,3.0,-0.3
Jordan Bell,2.6,2.5,0.2
Terry Rozier,2.6,1.5,1.1
Andre Roberson,2.6,4.0,-1.4
Steven Adams,2.6,1.1,1.5
Davis Bertans,2.5,1.7,0.8
DeMarcus Cousins,2.5,2.2,0.3
Amir Johnson,2.5,3.1,-0.6
Spencer Dinwiddie,2.5,-0.7,3.2
Langston Galloway,2.5,2.9,-0.4
Jakob Poeltl,2.5,2.4,0.1
Larry Nance Jr.,2.5,2.8,-0.2
Blake Griffin,2.4,0.2,2.2
John Wall,2.4,0.2,2.2
Tyus Jones,2.1,1.2,0.8
Ben Simmons,2.1,1.0,1.1
Donovan Mitchell,2.1,0.7,1.4
Gary Harris,2.1,0.6,1.4
Josh Richardson,2.1,2.7,-0.5
Kyle Korver,2.0,0.3,1.7
Shabazz Napier,2.0,2.5,-0.6
Tim Hardaway Jr.,2.0,-0.0,2.0
Trey Burke,2.0,-2.5,4.6
Rudy Gay,2.0,1.3,0.7
Jeremy Lamb,2.0,-0.2,2.2
Derrick Favors,1.9,1.8,0.1
Lou Williams,1.9,-3.3,5.2
Anthony Tolliver,1.8,0.1,1.7
JJ Redick,1.8,-1.4,3.3
Khris Middleton,1.8,-1.0,2.8
Jaylen Brown,1.8,1.2,0.6
Aaron Gordon,1.7,1.6,0.1
Montrezl Harrell,1.7,-0.1,1.8
J.J. Barea,1.7,-1.7,3.4
Ersan Ilyasova,1.6,2.4,-0.8
Ekpe Udoh,1.6,3.7,-2.1
Thaddeus Young,1.6,1.9,-0.3
David West,1.6,3.0,-1.4
Marcus Smart,1.6,2.4,-0.8
Al-Farouq Aminu,1.5,2.1,-0.6
Danny Green,1.5,2.6,-1.1
Kevin Love,1.4,-0.3,1.7
Josh Hart,1.4,0.5,1.0
Kelly Olynyk,1.4,-0.8,2.2
Buddy Hield,1.4,0.3,1.1
Michael Kidd-Gilchrist,1.4,2.9,-1.5
Nemanja Bjelica,1.4,1.3,0.1
Klay Thompson,1.4,0.0,1.4
Ish Smith,1.3,1.0,0.2
DeMar DeRozan,1.3,-2.1,3.4
Goran Dragic,1.2,-0.2,1.4
Jayson Tatum,1.2,0.7,0.5
Tobias Harris,1.2,-0.6,1.9
Manu Ginobili,1.2,0.5,0.7
Ricky Rubio,1.2,1.3,-0.1
Royce O'Neale,1.2,2.4,-1.2
Dejounte Murray,1.1,3.2,-2.1
Michael Carter-Williams,1.1,3.3,-2.2
JaVale McGee,1.1,1.0,0.1
Allen Crabbe,1.1,0.2,1.0
Kyle O'Quinn,1.0,0.5,0.5
Tomas Satoransky,1.0,-0.0,1.1
CJ McCollum,1.0,-1.5,2.5
Devin Harris,0.9,-0.7,1.6
Zaza Pachulia,0.9,0.7,0.2
Reggie Jackson,0.9,-0.7,1.5
Will Barton,0.9,-0.4,1.3
Taj Gibson,0.8,0.7,0.1
Ed Davis,0.8,1.3,-0.6
Jose Calderon,0.8,1.0,-0.2
Andre Iguodala,0.8,1.7,-0.9
Rondae Hollis-Jefferson,0.8,1.1,-0.3
Trey Lyles,0.8,0.1,0.7
Jamal Murray,0.7,-1.7,2.3
OG Anunoby,0.7,1.4,-0.7
Eric Gordon,0.7,-1.5,2.2
Lonzo Ball,0.6,1.4,-0.9
Kent Bazemore,0.6,0.7,-0.1
Dario Saric,0.6,-0.5,1.1
George Hill,0.6,0.2,0.4
Yogi Ferrell,0.6,1.2,-0.6
Vince Carter,0.5,1.0,-0.5
Corey Brewer,0.4,1.6,-1.1
Reggie Bullock,0.4,-0.2,0.6
Pascal Siakam,0.4,0.3,0.2
Marvin Williams,0.4,0.1,0.3
Marc Gasol,0.4,1.7,-1.3
T.J. McConnell,0.4,1.6,-1.2
Daniel Theis,0.3,2.1,-1.8
PJ Tucker,0.3,0.7,-0.4
DeMarre Carroll,0.3,0.4,-0.1
Tyler Johnson,0.3,0.1,0.2
Aron Baynes,0.2,3.2,-3.0
Kentavious Caldwell-Pope,0.2,-0.5,0.8
James Johnson,0.2,-0.0,0.2
Hassan Whiteside,0.2,2.4,-2.2
Shelvin Mack,0.2,0.2,0.0
Dirk Nowitzki,0.2,-0.4,0.6
Dennis Schroder,0.2,-1.4,1.6
Jerian Grant,0.2,-0.9,1.0
Justin Holiday,0.2,1.1,-0.9
Joe Harris,0.2,-1.1,1.2
Ryan Anderson,0.1,0.2,-0.1
Andre Drummond,0.1,0.7,-0.6
Jusuf Nurkic,0.1,2.1,-2.0
Rajon Rondo,0.1,-1.8,1.9
CJ Miles,0.1,-1.0,1.1
Justise Winslow,0.0,1.7,-1.7
Jerami Grant,0.0,1.0,-0.9
Enes Kanter,-0.0,-2.2,2.1
Shane Larkin,-0.1,1.6,-1.7
D.J. Augustin,-0.1,-0.5,0.4
Pau Gasol,-0.1,0.9,-0.9
Julius Randle,-0.1,-0.3,0.2
Lauri Markkanen,-0.1,-0.2,0.1
Evan Fournier,-0.2,-2.1,1.8
Paul Millsap,-0.3,0.2,-0.5
Jordan Clarkson,-0.3,-0.7,0.4
Bojan Bogdanovic,-0.3,-0.1,-0.2
Garrett Temple,-0.3,1.2,-1.5
Tim Frazier,-0.3,0.9,-1.2
Jonas Jerebko,-0.3,-0.9,0.6
James Ennis III,-0.4,0.9,-1.2
Malcolm Brogdon,-0.4,-1.0,0.6
Nikola Vucevic,-0.4,0.4,-0.8
Marcin Gortat,-0.4,1.3,-1.8
Pat Connaughton,-0.4,0.1,-0.5
T.J. Warren,-0.4,-0.5,0.1
Dewayne Dedmon,-0.4,1.1,-1.5
Trevor Ariza,-0.4,-0.6,0.2
Luke Kennard,-0.5,-0.8,0.2
Patty Mills,-0.5,-1.3,0.8
John Collins,-0.6,0.5,-1.1
Brook Lopez,-0.6,0.1,-0.7
Devin Booker,-0.6,-3.1,2.5
Ian Mahinmi,-0.6,1.5,-2.2
Wilson Chandler,-0.6,0.1,-0.7
Maxi Kleber,-0.6,1.5,-2.1
Mario Hezonja,-0.6,0.2,-0.8
Jeff Green,-0.6,0.1,-0.7
Andrew Wiggins,-0.6,0.2,-0.8
Sindarius Thornwell,-0.7,1.8,-2.5
Greg Monroe,-0.7,0.1,-0.8
Bobby Portis,-0.8,-2.0,1.1
E'Twaun Moore,-0.8,-1.1,0.4
Marco Belinelli,-0.8,-2.0,1.2
Luc Mbah a Moute,-0.8,2.0,-2.8
Carmelo Anthony,-0.8,-1.7,1.0
Jason Terry,-0.8,0.0,-0.9
Darius Miller,-0.8,-1.2,0.4
Wesley Johnson,-0.8,2.1,-2.9
Caris LeVert,-0.9,0.1,-1.0
Jeff Teague,-0.9,-2.0,1.2
